time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006012,0.0237,-0.1873,-0.0614,0.199
0.006828,-0.0889,-0.2363,0.0146,0.253
0.013373,-0.2598,-0.2231,0.0059,0.343
0.026778,-0.3207,-0.1013,-0.0294,0.338
0.034478,-0.2778,0.2046,-0.0911,0.357
0.039686,-0.2584,0.4316,-0.2846,0.578
0.052916,-0.3029,0.6407,-0.2964,0.768
0.059996,-0.3813,0.6233,-0.12,0.74
0.074068,-0.2769,0.377,0.0693,0.473
0.079674,-0.1112,0.1652,0.1114,0.228
0.092184,0.0374,-0.0564,0.1364,0.152
0.103315,0.0648,-0.0739,0.2571,0.275
0.112188,0.2424,-0.2754,0.3137,0.483
0.119574,0.373,-0.2649,0.3277,0.563
0.134631,0.367,-0.2623,0.5744,0.73
0.142843,0.478,0.0931,0.7727,0.913
0.15276,0.5379,0.8877,1.4064,1.748
0.160332,1.0278,0.8946,1.8131,2.268
0.172551,0.8618,-0.2497,1.3625,1.631
0.179965,0.0198,-0.2167,1.4686,1.485
0.193,-0.3977,0.2024,1.6958,1.753
0.200391,-0.4451,0.719,1.7663,1.958
0.221464,0.0118,1.3505,1.9811,2.398
0.221919,0.2531,1.4718,2.083,2.563
0.232412,0.4389,1.0952,2.1307,2.436
0.240238,0.3314,0.6623,2.2277,2.348
0.253962,0.5111,0.0067,2.1079,2.169
0.261503,0.928,-0.4771,1.8668,2.139
0.272729,1.3746,-0.7474,1.5138,2.177
0.280583,1.4518,-0.7424,1.1612,2.002
0.292784,0.9614,-0.6012,1.2776,1.708
0.311461,0.8211,-0.3188,1.0116,1.341
0.313065,0.5276,0.1871,1.067,1.205
0.320822,0.3598,0.1819,0.5851,0.711
0.334347,0.0914,-0.0362,0.2533,0.272
0.340197,0.3337,-0.1015,0.1848,0.395
0.353471,0.9063,0.2152,-0.2371,0.961
0.360086,1.015,0.4358,-0.5833,1.249
0.372421,0.8392,0.7955,-1.0926,1.591
0.380552,0.72,0.952,-1.6377,2.027
0.392548,0.3756,0.5009,-2.0961,2.188
0.403266,0.1191,0.0605,-2.7142,2.717
0.413128,-0.0664,-0.0801,-3.1858,3.187
0.423645,-0.1169,-0.0988,-2.988,2.992
0.434744,-0.2807,0.1178,-2.6849,2.702
0.440385,-0.2702,0.2196,-2.4951,2.519
0.453424,0.2339,0.2181,-1.8777,1.905
0.464207,0.5214,0.177,-1.5163,1.613
0.472547,0.637,-0.4807,-2.6139,2.733
0.480713,0.5441,-0.3125,-2.1479,2.238
0.493895,0.8146,0.4243,-3.3018,3.427
0.500221,0.7494,0.8614,-3.8067,3.974
0.516044,0.692,1.0504,-0.7706,1.475
0.520193,1.062,0.8758,0.7566,1.571
0.53345,0.9933,0.5562,2.2445,2.517
0.540674,0.6583,0.3206,2.7359,2.832
0.55627,-0.1047,-0.4884,3.8835,3.916
0.56089,-0.3834,-0.958,2.3763,2.591
0.572941,-0.8344,-1.5573,2.2542,2.864
0.579852,-0.9634,-1.0895,1.99,2.465
0.593012,-0.8108,-0.2361,2.1918,2.349
0.599586,-0.3422,0.0446,2.7182,2.74
0.613452,0.3713,0.1825,3.8857,3.908
0.623914,0.3663,-0.296,4.6436,4.667
0.632173,0.4749,0.3206,5.209,5.24
0.640035,0.0375,1.1091,6.0505,6.151
0.655372,-0.3785,1.5627,7.4357,7.608
0.659693,0.1768,0.9035,7.9594,8.013
0.672606,0.2456,-0.4228,9.0711,9.084
0.681503,0.0885,-0.2894,9.7279,9.733
0.692927,0.8144,-1.3156,9.4987,9.624
0.700055,1.3372,-1.6379,9.5995,9.83
0.712826,1.4412,-1.3399,8.9164,9.131
0.722399,1.6153,-0.8305,7.6033,7.817
0.733103,1.3123,-0.9512,5.5333,5.766
0.740311,2.1727,-0.4861,5.0436,5.513
0.752282,1.7277,-0.41,2.5701,3.124
0.760285,1.4568,-1.0331,1.9657,2.656
0.772638,1.5416,-0.7503,0.9856,1.978
0.780752,1.941,-0.3888,-0.8632,2.16
0.796188,2.9906,-0.2029,-4.5454,5.445
0.803908,2.9943,-0.2661,-5.7296,6.47
0.81392,2.5762,-0.5461,-6.9137,7.398
0.823183,1.7906,-1.2614,-6.7204,7.068
0.832862,0.1063,-1.3196,-7.1395,7.261
0.840308,-0.5359,-1.2557,-7.2418,7.369
0.857007,-1.313,-0.6694,-7.4792,7.623
0.859483,-1.6519,0.0388,-7.8552,8.027
0.872255,-2.085,0.9396,-8.3106,8.619
0.884507,-1.9988,0.9603,-9.9475,10.192
0.892757,-1.7908,0.8939,-10.5675,10.755
0.900699,-1.6031,1.0301,-10.6984,10.867
0.913287,-1.4056,1.0184,-11.1551,11.289
0.921725,-1.1837,0.9608,-10.9941,11.099
0.933561,-0.9663,0.748,-10.0399,10.114
0.941076,-0.8285,0.5646,-8.783,8.84
0.956574,-1.0081,0.4886,-7.8603,7.94
0.96042,-1.1346,0.5968,-7.1533,7.267
0.973567,-0.5268,0.2644,-8.5725,8.593
0.980876,-0.6923,-0.1748,-8.7833,8.812
0.992792,-1.2809,-0.7612,-7.5346,7.681
1.000902,-1.8154,-1.1883,-6.893,7.226
1.016214,-2.2873,-1.949,-5.6707,6.418
1.022282,-2.3219,-2.1031,-4.5976,5.563
1.034604,-1.8741,-1.9248,-2.6189,3.752
1.041215,-1.1742,-1.9281,-1.3415,2.626
1.052705,-0.2541,-1.4732,0.176,1.505
1.060401,0.2602,-0.9473,1.5936,1.872
1.076476,0.5051,0.4091,5.3775,5.417
1.081512,0.1983,1.2383,8.2414,8.336
1.096614,-0.8505,1.5925,11.9994,12.134
1.100055,-1.9789,1.8757,14.0464,14.309
1.114111,-3.1955,1.33,15.6449,16.023
1.12269,-3.0793,0.1009,16.0901,16.382
1.132365,-1.7012,-0.9867,17.9772,18.084
1.14089,-0.0973,-1.6181,19.3283,19.396
1.153787,1.5163,-2.3846,20.3772,20.572
1.160746,1.5596,-2.2808,20.3926,20.579
1.172769,0.8688,-1.4096,18.0908,18.166
1.18044,0.5322,-0.401,14.9497,14.965
1.192589,0.3024,1.681,9.7274,9.876
1.200069,0.2685,2.7221,6.7408,7.275
1.213663,0.4021,3.9641,2.4848,4.696
1.220553,0.5958,4.3212,0.6644,4.412
1.233706,0.8057,3.7134,-0.715,3.867
1.240275,0.7379,2.8602,-1.5469,3.334
1.252505,0.4085,1.9097,-2.9927,3.574
1.260528,0.1158,1.5745,-4.1653,4.454
1.273651,0.0293,1.5049,-5.7247,5.919
1.280907,0.2753,1.8414,-6.7388,6.991
1.294674,0.5646,1.9706,-7.8018,8.067
1.300869,0.738,1.7904,-8.2146,8.44
1.312633,0.8168,1.4014,-8.5742,8.726
1.322858,0.7071,1.0272,-8.7441,8.833
1.333794,0.5904,0.2417,-9.0038,9.026
1.340958,0.4281,-0.2144,-8.8131,8.826
1.353015,0.1173,-0.4768,-8.6023,8.616
1.364693,0.0109,-0.5133,-8.7185,8.734
1.37357,-0.1561,-0.683,-9.6188,9.644
1.381322,-0.1757,-0.7746,-9.9795,10.011
1.392858,-0.3714,-0.8633,-10.4289,10.471
1.401149,-0.3598,-0.9797,-10.7081,10.759
1.413134,-0.2081,-1.2946,-10.4843,10.566
1.423157,-0.2033,-1.6544,-9.9422,10.081
1.435328,-0.203,-2.0111,-8.5224,8.759
1.441682,-0.4127,-2.3064,-7.6417,7.993
1.454854,-0.565,-2.6303,-6.5069,7.041
1.460843,-0.4368,-2.6702,-5.7848,6.386
1.474058,0.2828,-2.262,-4.8272,5.338
1.481355,0.6876,-1.8583,-4.3051,4.739
1.494381,1.2655,-1.0721,-3.8918,4.23
1.504252,1.2344,-0.4427,-2.9882,3.263
1.516185,0.4405,1.2162,0.9775,1.621
