time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.149529541015625,-0.6903,4.8287,9.0233,10.2574
0.168121826171875,-0.4606,5.0417,8.9085,10.2465
0.18671435546875,-0.5503,4.2616,8.7876,9.782
0.205306884765625,0.3242,4.0152,8.4634,9.3732
0.2238994140625,0.8698,5.0991,7.9765,9.5069
0.242491943359375,1.9286,4.2796,8.3342,9.5652
0.26108447265625,2.5771,4.1946,7.6391,9.088
0.2796767578125,2.0291,4.3537,7.0564,8.5361
0.298269287109375,1.5625,4.5691,7.5099,8.9284
0.31686181640625,0.8758,4.5583,8.7517,9.9065
0.3354541015625,0.0897,4.3513,9.0281,10.0224
0.35404638671875,0.3278,4.4339,8.7111,9.7801
0.372638916015625,0.7442,4.7952,9.4684,10.6395
0.3912314453125,0.6748,4.6181,9.4588,10.5476
0.409823974609375,0.5025,4.6349,8.9408,10.0833
0.428416259765625,0.1615,4.7581,8.8391,10.0397
0.4470087890625,0.2046,4.6002,8.3833,9.5647
0.465601318359375,0.926,4.6134,7.8138,9.1212
0.48419384765625,1.2814,4.7486,8.5424,9.8571
0.502786376953125,0.7836,4.3872,9.1406,10.1692
0.52137890625,0.6425,4.136,8.7039,9.658
0.53997119140625,1.2622,4.2269,8.2863,9.3874
0.5585634765625,1.2443,4.3765,8.1667,9.3486
0.577156005859375,0.5456,4.4913,7.7755,8.996
0.59574853515625,0.6748,4.5176,7.8544,9.0861
0.614341064453125,1.0792,3.8716,9.1884,10.029
0.63293359375,1.3089,3.5868,9.4995,10.2381
0.651526123046875,0.3948,4.051,8.3701,9.3073
0.670118408203125,0.1819,4.203,8.3103,9.3144
0.6887109375,0.2285,3.7663,9.1609,9.9076
0.707303466796875,0.3829,3.7878,8.8678,9.6505
0.72589599609375,0.2046,4.2293,8.8786,9.8366
0.744488525390625,0.1974,3.8656,10.2724,10.9774
0.7630810546875,0.6329,3.5833,9.6598,10.3224
0.781673583984375,1.1342,3.5557,7.2108,8.1194
0.800265625,1.4477,3.5486,7.0421,8.0174
0.818858154296875,0.5192,4.5775,7.4237,8.737
0.83745068359375,0.4798,4.6469,7.9992,9.2634
0.856043212890625,0.9715,3.7184,7.8652,8.754
0.874635498046875,0.9751,3.6873,7.742,8.6305
0.89322802734375,0.5456,3.521,8.4873,9.2049
0.911820556640625,0.14,3.2291,7.8197,8.4614
0.9304130859375,0.7155,3.3284,8.3533,9.0205
0.949005615234375,-0.402,3.466,9.4074,10.0336
0.96759814453125,-0.8949,3.2937,8.6094,9.2613
0.986190673828125,0.3099,3.6443,6.9464,7.8504
1.004783203125,1.0528,3.4983,7.6582,8.485
1.023375732421875,1.9597,3.283,8.016,8.8811
1.041968017578125,2.0447,3.7603,7.474,8.6128
1.060560302734375,0.7729,3.9051,8.5436,9.4255
1.07915283203125,0.475,4.6505,10.9005,11.8606
1.097745361328125,0.5671,3.728,12.079,12.6539
1.116337890625,0.2106,4.4124,11.0477,11.8981
1.134930419921875,0.0287,5.0082,9.734,10.9468
1.15352294921875,0.6054,5.3575,9.746,11.1379
1.172115478515625,3.4433,5.458,11.6877,13.351
1.190707763671875,1.992,6.0084,13.4417,14.8576
1.20930029296875,0.5659,6.2225,14.461,15.7531
1.227892822265625,2.455,6.2824,17.787,19.023
1.2464853515625,3.7041,6.4881,20.1547,21.4949
1.265077880859375,1.401,8.3689,18.3015,20.1729
1.283670166015625,0.3278,10.751,15.5797,18.9319
1.3022626953125,3.7735,9.9051,20.1607,22.7773
1.320855224609375,3.2566,9.0748,26.9827,28.6535
1.33944775390625,3.8501,8.6453,26.0172,27.6849
1.358040283203125,2.339,9.8979,18.8602,21.4277
1.3766328125,2.8068,11.939,10.3777,16.0659
1.395225341796875,3.8548,11.2977,9.9362,15.5315
1.41381787109375,2.9539,7.6941,11.616,14.2427
1.43241015625,1.2251,4.1719,9.8369,10.755
1.451002685546875,-1.5398,1.7133,4.6493,5.1886
