time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.102218994140625,1.4967,0.3242,9.8871,10.005
0.120812255859375,1.407,0.3218,9.8189,9.9245
0.13940576171875,1.5505,0.2847,9.7424,9.8691
0.157999267578125,1.7886,0.256,9.8213,9.9862
0.1765927734375,1.8808,0.1244,9.6359,9.8185
0.195186279296875,1.8927,0.0371,9.4911,9.6781
0.21377978515625,2.144,0.0,10.0379,10.2643
0.23237353515625,2.3509,-0.5168,11.0285,11.2882
0.250967041015625,2.2552,-1.9143,13.608,13.9258
0.269560302734375,1.5338,-1.9693,16.416,16.6047
0.28815380859375,-1.9729,-2.942,21.0497,21.3456
0.306747314453125,1.9896,-4.9531,25.1904,25.7498
0.3253408203125,1.8676,-5.7739,29.9474,30.556
0.343934326171875,-1.8544,-7.2897,23.0058,24.2042
0.36252783203125,2.2098,-4.3956,14.7254,15.5256
0.38112158203125,1.882,-0.5001,8.8319,9.044
0.399715087890625,2.205,0.5659,5.4006,5.8608
0.418308349609375,2.2086,1.7264,3.9506,4.8441
0.43690185546875,0.8602,3.0473,3.8644,4.9959
0.455495361328125,-0.0144,3.0473,4.1575,5.1547
0.4740888671875,-0.1771,2.4084,4.6349,5.2263
0.492682373046875,-0.6353,2.132,4.6552,5.1595
0.51127587890625,-1.3388,2.4969,4.3765,5.2135
0.529869384765625,-1.6175,2.6429,4.1468,5.1766
0.548462890625,-2.0291,2.5184,4.8885,5.8615
0.567056396484375,-2.8917,2.4957,7.0588,8.0261
0.58564990234375,-2.9204,2.0195,8.4933,9.2057
0.604243408203125,-2.4957,1.8138,8.5149,9.0566
0.6228369140625,-2.4156,2.3916,7.8939,8.5947
0.641430419921875,-2.3103,3.0604,7.0193,7.9984
0.66002392578125,-2.0243,3.4947,6.6269,7.7606
0.678617431640625,-1.7527,3.5438,6.7358,7.8103
0.697211181640625,-1.8138,3.5569,7.2419,8.2696
0.715804443359375,-1.7216,3.2782,8.3007,9.0891
0.73439794921875,-1.6798,2.8295,8.7565,9.3544
0.752991455078125,-1.8544,2.6788,8.6692,9.2612
0.7715849609375,-2.0722,2.7781,8.1571,8.8629
0.790178466796875,-1.9346,2.8726,7.9047,8.6301
0.80877197265625,-1.5553,2.7027,8.0985,8.6781
