time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.120549560546875,3.4241,2.4203,8.8869,9.8265
0.139142822265625,3.8046,2.8678,8.8355,10.0382
0.15773583984375,3.8489,2.6584,8.5651,9.7592
0.176328857421875,3.4086,2.2313,8.546,9.4673
0.194922119140625,1.9836,2.7338,9.0473,9.6572
0.213515380859375,0.7789,3.1729,9.2076,9.77
0.2321083984375,0.384,3.5079,8.4921,9.1961
0.250701416015625,0.5994,4.3023,8.3701,9.4301
0.269294677734375,1.1653,4.4841,8.6512,9.8137
0.2878876953125,1.273,4.2233,9.4481,10.427
0.306481201171875,1.2419,3.4828,10.2879,10.9322
0.32507421875,1.3316,3.1956,9.5378,10.1467
0.34366748046875,1.1593,3.3715,8.1595,8.9044
0.362260498046875,0.7681,3.4397,8.15,8.8794
0.380853515625,0.4283,3.4325,8.9934,9.6357
0.39944677734375,0.5922,3.1322,9.1167,9.6579
0.4180400390625,0.6592,2.8487,8.6058,9.0889
0.436633056640625,0.5145,2.8367,8.9803,9.4317
0.45522607421875,1.0074,2.6273,9.7962,10.1923
0.4738193359375,1.2981,2.7876,10.4411,10.8845
0.492412353515625,1.1306,2.8798,10.0235,10.4901
0.511005615234375,1.0313,2.7374,10.0798,10.4956
0.5295986328125,0.9547,2.7254,10.2497,10.6487
0.548191650390625,1.1426,2.9515,10.2042,10.6838
0.566784912109375,1.6403,3.2291,9.9063,10.5476
0.585378173828125,1.718,3.2877,9.7567,10.4381
0.60397119140625,1.4429,3.0724,9.6969,10.2738
0.622564208984375,0.7717,2.8774,9.2004,9.6707
0.641157470703125,0.4522,3.0604,8.601,9.1405
0.65975048828125,0.1304,3.186,8.7601,9.3224
0.67834375,0.1328,2.9492,8.6393,9.1298
0.69693701171875,-0.0526,2.7362,8.4766,8.9074
0.715530029296875,-0.2764,2.9384,9.0042,9.4755
0.734123291015625,0.3051,2.7769,8.9934,9.4173
0.75271630859375,0.676,2.8128,8.5519,9.028
0.7713095703125,0.8794,2.9061,8.1727,8.7185
0.789902587890625,0.3111,3.1645,8.4646,9.0422
0.80849560546875,-0.0251,3.2267,9.2219,9.7702
0.8270888671875,0.7633,3.0006,8.5819,9.1233
0.845681884765625,1.1713,2.8798,8.2301,8.7977
0.864275146484375,0.8303,2.7254,9.472,9.8912
0.8828681640625,0.8088,2.2887,10.0487,10.3377
0.901461181640625,1.0062,2.3677,9.4373,9.7817
0.920054443359375,0.9511,2.9803,9.0305,9.557
0.9386474609375,0.9535,3.0879,8.5914,9.1792
0.95724072265625,0.7777,3.0377,8.7553,9.2999
0.975833740234375,0.9392,3.0269,8.7206,9.2787
0.9944267578125,1.273,2.869,8.7852,9.3291
1.013019775390625,1.5194,2.5005,9.1848,9.6396
1.031613037109375,1.0241,2.5675,10.2245,10.5916
1.0502060546875,0.9488,2.6154,10.6361,10.9939
1.068799072265625,1.401,2.796,10.4231,10.8822
1.087392333984375,1.7312,2.9862,9.8859,10.4712
1.1059853515625,1.681,2.9982,9.6742,10.2667
1.124578857421875,1.3507,2.8989,9.7496,10.2607
1.143171875,0.6173,2.7362,9.8429,10.2347
1.161764892578125,0.1352,2.5627,9.5569,9.8955
1.18035791015625,0.2213,2.4562,9.0915,9.4201
1.198951171875,0.2381,2.4383,8.4802,8.827
1.217544189453125,0.1842,2.2947,8.2181,8.5345
1.236137451171875,-0.073,2.1894,7.8796,8.1784
1.25473046875,0.0096,2.3043,8.2469,8.5627
1.273323486328125,0.4343,2.193,8.5663,8.8532
1.29191650390625,0.4762,2.3773,8.9922,9.3133
1.310509765625,0.0861,2.7374,11.5418,11.8623
1.329102783203125,0.4869,2.2899,16.2437,16.4115
1.347696044921875,0.9236,2.2708,18.1783,18.3428
1.3662890625,2.9504,3.1705,17.9055,18.4218
1.384882080078125,5.3827,3.6586,18.859,19.9505
1.40347509765625,4.3286,3.5019,19.8245,20.5916
1.422068359375,0.7669,3.7998,17.677,18.097
1.440661376953125,-1.1174,5.0237,14.7888,15.6587
1.45925439453125,-0.1089,6.0311,14.5208,15.7239
1.47784765625,2.8211,5.6136,15.6885,16.8997
1.496440673828125,3.2746,4.0439,15.2507,16.1139
1.51503369140625,0.7274,2.3318,12.8495,13.0796
1.533626708984375,-2.528,0.987,9.1561,9.5499
1.55222021484375,-4.203,0.3721,5.7703,7.1484
1.570813232421875,-4.3597,0.536,3.271,5.4767
1.58940625,-2.6955,0.548,1.5422,3.1535
1.607999267578125,0.2405,0.4929,0.4989,0.7414
1.626592529296875,2.668,0.8889,-1.864,3.3739
1.645185546875,3.1944,1.2275,-4.7533,5.8571
1.663778564453125,-0.1077,0.5958,-6.542,6.5699
1.682371826171875,-2.3809,0.3781,-7.3843,7.7678
1.70096484375,-1.4991,0.6676,-6.3111,6.5209
1.719557861328125,-1.2598,-1.4704,-4.6313,5.0198
1.73815087890625,-2.0327,-0.317,1.474,2.5308
1.756743896484375,-0.5683,0.134,3.5653,3.6128
1.775337158203125,2.2361,0.0335,7.1079,7.4514
1.79393017578125,5.5609,0.9248,11.1589,12.502
1.812523193359375,6.8495,3.1286,14.3103,16.1706
1.8311162109375,6.4798,5.3133,20.1619,21.8339
1.84970947265625,4.4088,6.0754,26.7805,27.8126
1.868302490234375,1.7372,8.5508,26.0782,27.4992
1.8868955078125,0.4104,12.7705,21.399,24.9233
