time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002839,0.2882,-1.197,0.9186,1.536
0.016289,-0.1784,-1.1723,0.7992,1.43
0.021179,-0.3671,-1.1388,0.7368,1.405
0.036263,-0.5017,-1.1378,0.6622,1.409
0.043572,-0.4233,-1.2261,0.8682,1.561
0.055336,-0.3242,-1.508,1.192,1.949
0.062488,-0.2393,-1.5396,1.2014,1.967
0.078225,-0.2596,-1.326,0.9251,1.638
0.082552,-0.3281,-1.1835,0.8231,1.478
0.09509,-0.2055,-1.0369,0.6851,1.26
0.106004,0.0864,-0.9588,0.7719,1.234
0.118334,0.5201,-0.8723,1.1662,1.546
0.123871,0.6327,-0.7819,1.1647,1.539
0.138212,0.6701,-0.6734,0.968,1.356
0.1436,0.6126,-0.6264,0.8396,1.214
0.156386,0.5115,-0.6133,0.6816,1.05
0.169375,0.4249,-0.6309,0.5551,0.942
0.177537,0.2652,-0.6872,0.4503,0.863
0.18492,0.21,-0.7468,0.5087,0.928
0.197778,0.1301,-0.9146,0.6678,1.14
0.205049,0.1114,-0.9741,0.6526,1.178
0.21749,0.0341,-1.0112,0.2246,1.036
0.235368,-0.098,-0.988,-0.0195,0.993
0.24073,-0.1222,-0.8449,-0.1649,0.869
0.246639,-0.1253,-0.7744,-0.1316,0.795
0.259773,-0.0491,-0.7678,-0.0341,0.77
0.266242,0.001,-0.8073,0.0638,0.81
0.278473,-0.0074,-0.9248,0.1643,0.939
0.289164,0.0032,-0.9631,0.2938,1.007
0.300194,0.0341,-0.9763,0.6097,1.152
0.308228,0.1956,-0.9391,0.8691,1.294
0.320323,0.2968,-1.0218,1.0352,1.485
0.332398,0.4219,-1.166,0.9847,1.583
0.341255,0.7103,-1.4209,0.8625,1.808
0.349651,0.5379,-1.3623,0.7067,1.626
0.361977,0.0489,-1.0392,0.1842,1.057
0.368439,-0.1738,-0.826,-0.2622,0.884
0.380237,-0.1838,-0.4334,-1.2879,1.371
0.39133,0.0654,-0.3211,-1.6761,1.708
0.402026,0.3856,-0.2213,-0.6439,0.782
0.408668,0.6057,-0.3268,-0.1338,0.701
0.421511,0.8421,-0.7128,0.433,1.185
0.430783,0.8927,-0.9791,0.4788,1.409
0.44418,0.6147,-1.5628,0.5626,1.771
0.45214,0.3531,-1.7624,0.4835,1.861
0.46708,-0.2877,-1.8836,0.7928,2.064
0.469164,-0.6371,-1.7697,0.9286,2.098
0.48244,-0.9367,-1.5528,1.0304,2.086
0.492563,-1.227,-0.9001,1.2751,1.985
0.505366,-0.5282,-1.0514,1.0738,1.593
0.51099,-0.4579,-1.255,1.3786,1.92
0.525085,0.0859,-1.9003,1.5789,2.472
0.532651,0.3288,-2.1919,1.3614,2.601
0.549272,0.8886,-2.3817,1.0115,2.736
0.552822,0.7733,-2.1557,0.8889,2.457
0.565071,0.0055,-1.1789,1.9121,2.246
0.574584,0.4312,-0.5328,1.1171,1.311
0.585375,0.5647,-0.8778,1.6633,1.964
0.594784,1.0736,-1.1926,0.6943,1.748
0.608413,1.5674,-1.1596,-0.4626,2.004
0.613218,1.4889,-1.0596,-0.4285,1.877
0.628609,1.2077,-0.9895,-0.4136,1.615
0.640409,0.2007,-0.8088,-0.075,0.837
0.647394,-0.3882,0.0213,-0.1568,0.419
0.654172,0.1597,0.2145,-0.7903,0.834
0.666256,0.9665,-0.0514,-1.3452,1.657
0.675004,0.6435,-0.7672,-1.4061,1.726
0.688205,-0.1516,-2.0069,-2.9614,3.581
0.69616,-0.3081,-2.2869,-3.8051,4.45
0.708399,-0.4043,-0.7106,-7.0295,7.077
0.71456,-1.2956,-0.5712,-4.4622,4.681
0.732503,-0.8459,-1.3846,-3.4449,3.808
0.735559,-1.1643,-0.856,-3.0132,3.342
0.751378,-1.1764,-0.2477,-1.6947,2.078
0.754597,-0.2607,-0.9196,-0.9006,1.313
0.766968,0.1444,-2.0212,1.8529,2.746
0.778357,0.0264,-1.8838,2.4319,3.076
0.788892,0.1578,-2.7518,2.1637,3.504
