time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006251,-0.0086,0.0248,0.0002,0.026
0.016013,-0.0182,0.0226,0.1103,0.114
0.034,-0.0158,0.0206,0.1151,0.118
0.034975,-0.0111,0.0351,0.1486,0.153
0.047373,0.0151,0.0043,0.1031,0.104
0.054712,-0.0042,0.0046,0.0456,0.046
0.067569,-0.0187,0.0025,0.0647,0.067
0.077105,-0.038,0.0102,0.0839,0.093
0.09077,-0.0764,0.0225,0.0887,0.119
0.09583,-0.0453,0.0302,0.1318,0.143
0.118724,-0.012,0.0402,0.0527,0.067
0.11944,0.0096,0.0119,0.0503,0.053
0.129438,0.0551,-0.0045,0.0838,0.1
0.136807,0.0671,-0.0161,0.1557,0.17
0.1496,0.0695,0.006,0.1341,0.151
0.159727,0.0598,0.009,0.1006,0.117
0.170913,0.0548,0.0159,0.0598,0.083
0.181519,0.0494,0.0012,0.055,0.074
0.191283,0.0105,-0.0013,0.0836,0.084
0.197961,-0.0183,0.0131,0.1003,0.103
0.214736,-0.013,0.0443,0.0955,0.106
0.218407,-0.0382,0.0414,0.1266,0.139
0.230168,-0.0196,0.0431,0.1122,0.122
0.237138,-0.0151,0.0277,0.1122,0.117
0.250532,0.023,-0.0188,0.1338,0.137
0.260171,0.0271,-0.0214,0.1482,0.152
0.27213,0.0547,-0.0352,0.1386,0.153
0.27817,0.0577,-0.0462,0.1002,0.125
0.301161,0.06,-0.011,0.1384,0.151
0.302004,0.026,-0.0022,0.1072,0.11
0.318282,-0.0125,0.0065,0.1143,0.115
0.321584,-0.0647,0.0244,0.064,0.094
0.333443,-0.0675,-0.004,0.1238,0.141
0.340184,-0.0693,-0.0154,0.0615,0.094
0.354257,-0.0673,-0.0195,0.0759,0.103
0.359578,-0.0697,0.0077,0.1502,0.166
0.374443,-0.0571,0.0632,0.1119,0.141
0.384414,-0.0276,0.0412,0.1503,0.158
0.394605,0.0013,0.0356,0.1049,0.111
0.401782,0.0129,-0.0085,0.1529,0.154
0.412929,0.0356,-0.0161,0.0882,0.097
0.422364,0.0266,-0.0404,0.1577,0.165
0.434293,0.0195,0.0007,0.1457,0.147
0.442745,0.0095,0.0253,0.1457,0.148
0.455514,0.0017,0.047,0.1409,0.149
0.462897,0.0156,0.0179,0.1409,0.143
0.474999,0.0103,-0.0209,0.1146,0.117
0.484059,0.0047,-0.0282,0.1528,0.156
0.495462,0.045,-0.011,0.1073,0.117
0.505178,0.0222,0.0063,0.1528,0.155
0.516263,0.0042,0.0164,0.1432,0.144
0.524778,0.0104,0.0093,0.1432,0.144
0.53755,0.007,-0.0003,0.1168,0.117
0.544062,-0.0153,0.0094,0.1216,0.123
0.557176,-0.0273,-0.0095,0.124,0.127
0.566703,-0.0297,0.0005,0.1383,0.141
0.578512,-0.0555,0.0366,0.1431,0.158
0.583985,-0.0402,0.0412,0.1312,0.143
0.59713,-0.0219,0.0188,0.1145,0.118
0.60515,-0.011,0.011,0.136,0.137
0.619914,0.0021,-0.0113,0.1145,0.115
0.627697,0.0123,-0.0234,0.1385,0.141
0.638904,0.0338,0.0009,0.1217,0.126
0.644935,0.0195,0.0086,0.1217,0.124
0.658669,0.0477,0.0089,0.1409,0.149
0.667858,0.0347,0.0114,0.1408,0.145
0.680143,0.0259,0.0066,0.124,0.127
0.686999,0.0292,-0.0244,0.1288,0.134
0.69972,0.0275,-0.0168,0.1383,0.142
0.706897,0.0043,-0.0091,0.1143,0.115
0.721556,-0.0019,-0.0035,0.1023,0.102
0.72832,-0.0126,0.0141,0.1023,0.104
0.740945,-0.0109,0.024,0.0975,0.101
0.748296,-0.0013,0.0125,0.107,0.108
0.76144,-0.016,0.0073,0.1334,0.135
0.769786,-0.0254,0.0143,0.1334,0.137
0.780849,-0.0631,0.0066,0.1238,0.139
0.78995,-0.0522,0.0327,0.1215,0.136
0.801355,-0.0408,0.0439,0.1239,0.138
0.810868,-0.0435,0.0452,0.1312,0.145
0.821901,-0.0485,0.0149,0.1241,0.134
0.831416,-0.0219,0.0204,0.1385,0.142
0.845197,0.0118,0.0402,0.1458,0.152
0.853551,0.0037,0.0069,0.0764,0.077
0.86176,0.0835,-0.026,0.1938,0.213
0.872266,0.1074,-0.082,0.0358,0.14
0.885413,0.1217,-0.0784,0.0357,0.149
0.890782,0.1227,-0.0523,-0.0817,0.156
0.903742,0.0821,-0.0065,0.2988,0.31
0.912029,0.0101,0.0202,-0.118,0.12
0.924036,-0.0368,0.0502,0.0184,0.065
0.932954,-0.082,0.0145,0.0519,0.098
0.944872,-0.113,0.0266,0.1548,0.194
0.951337,-0.1114,0.0619,-0.0055,0.128
0.963795,-0.0941,0.0339,0.131,0.165
0.975793,-0.0855,0.0396,0.1072,0.143
0.984735,-0.0453,0.0451,0.0427,0.077
0.994746,-0.0534,0.0047,0.1003,0.114
1.005473,0.015,-0.0041,0.0956,0.097
1.013491,0.0077,0.0236,0.0645,0.069
1.025069,0.0405,-0.0038,0.1077,0.115
1.036672,0.0362,-0.0043,0.0766,0.085
1.046558,0.0505,-0.0069,0.0359,0.062
1.054431,0.0426,-0.0286,0.067,0.084
1.066152,0.0055,-0.0282,0.0574,0.064
1.077748,0.0211,-0.0035,0.0454,0.05
1.087052,-0.0017,-0.01,0.0741,0.075
1.09484,-0.0022,-0.002,0.0573,0.057
1.107415,-0.0003,0.0128,0.0261,0.029
1.118526,0.0112,0.0037,0.0955,0.096
1.130353,0.0012,-0.0009,0.1027,0.103
1.136305,0.0034,-0.0102,0.0716,0.072
1.148399,-0.0114,-0.0025,0.0811,0.082
1.155567,0.0078,0.0243,0.0763,0.08
1.168609,0.005,0.0292,0.0739,0.08
1.178711,0.0071,-0.0092,0.05,0.051
1.188923,-0.0076,0.0027,0.062,0.062
1.199513,-0.0246,0.017,0.0428,0.052
1.209065,-0.0412,0.0217,0.0907,0.102
1.217017,-0.0573,0.0431,0.0763,0.105
1.228954,-0.0679,0.0325,0.0692,0.102
1.239953,-0.0608,0.041,0.0358,0.082
1.25285,-0.0486,0.0298,0.0837,0.101
1.2571,-0.0363,0.0187,0.0168,0.044
1.270461,-0.0242,0.0029,0.0672,0.071
1.279682,0.0141,0.0019,0.06,0.062
1.291891,0.0371,-0.006,0.0673,0.077
1.299213,0.0329,-0.0018,0.0242,0.041
1.31287,0.0544,-0.035,0.0386,0.075
1.318781,0.0657,-0.018,0.0673,0.096
1.334061,0.0567,-0.0127,0.0624,0.085
1.340778,0.0402,-0.0096,0.0432,0.06
1.352112,0.0235,0.0009,0.0336,0.041
1.359644,-0.0074,0.0254,0.0598,0.065
1.372402,-0.0208,0.0257,0.0406,0.052
1.382391,-0.0336,0.0208,0.0646,0.076
1.394193,-0.0386,0.0274,0.067,0.082
1.402673,-0.0214,0.0003,0.0215,0.03
1.414031,-0.0302,0.0167,0.079,0.086
1.420573,-0.0174,0.002,0.0742,0.076
1.434297,-0.0044,-0.0152,0.0384,0.041
1.444528,0.0061,-0.0178,0.024,0.03
1.455531,0.0378,0.0112,0.0264,0.047
1.461193,0.0212,-0.003,0.0743,0.077
1.473948,0.028,-0.0053,0.0432,0.052
1.483952,0.0273,-0.0024,0.024,0.036
1.496298,0.0024,0.0219,0.0359,0.042
1.503465,0.0136,0.0076,0.067,0.069
1.515121,-0.004,0.0076,0.0311,0.032
1.524572,-0.0092,0.0077,0.0646,0.066
1.537138,-0.0312,0.0074,0.0431,0.054
1.544466,-0.0311,0.015,0.055,0.065
1.557603,-0.0352,0.0051,0.0862,0.093
1.564396,-0.0269,0.0239,0.0168,0.04
1.57633,0.0198,-0.0008,0.0288,0.035
1.585402,0.0229,-0.0061,0.0647,0.069
1.597077,0.0326,0.0014,0.0408,0.052
1.607039,0.0297,-0.0131,0.0647,0.072
1.617393,0.0266,-0.0128,0.0407,0.05
1.626009,0.016,-0.0124,0.012,0.024
1.637573,-0.0066,0.0167,0.0886,0.09
1.648082,-0.0049,-0.0022,0.0694,0.07
1.658007,0.0066,-0.0162,0.0885,0.09
1.665232,0.0083,0.006,0.043,0.044
1.679139,0.0053,-0.0056,0.0454,0.046
1.687731,0.0215,-0.0051,0.043,0.048
1.699418,0.0064,0.0097,0.019,0.022
1.708018,0.0226,-0.002,0.0764,0.08
1.718728,0.0077,-0.004,0.074,0.075
1.726084,-0.0049,0.0155,0.0333,0.037
1.740051,-0.0168,0.0255,0.0692,0.076
1.748773,-0.0385,0.0351,0.0764,0.092
1.762723,0.0002,0.0056,0.0764,0.077
1.767652,-0.0234,0.0169,0.0309,0.042
1.781492,-0.0012,0.002,0.0382,0.038
1.789525,-0.0151,0.0111,0.0573,0.06
1.804518,-0.0218,0.0084,0.0382,0.045
1.813027,-0.0307,0.0298,0.0334,0.054
1.821018,-0.0296,0.0219,0.043,0.057
1.832534,-0.0091,-0.0077,0.079,0.08
1.842076,-0.0129,-0.0274,0.0575,0.065
1.849869,-0.0047,-0.0153,0.0623,0.064
1.863683,0.0106,-0.0174,-0.0383,0.043
1.86925,0.0279,-0.0095,0.1653,0.168
1.881823,-0.0294,0.0293,-0.0622,0.075
1.892039,-0.0269,0.0582,0.1461,0.16
1.9032,-0.0191,0.0214,0.1294,0.133
1.913526,0.0007,-0.0463,-0.0023,0.046
1.923933,-0.03,-0.0294,-0.0526,0.067
1.930082,-0.0005,-0.0169,0.1174,0.119
1.943303,-0.007,-0.0041,0.0073,0.011
1.952446,-0.0039,0.0231,0.0169,0.029
1.963792,0.0135,0.0209,0.0767,0.081
1.972881,0.0351,-0.0076,0.0337,0.049
1.984181,0.0327,0.0071,0.0815,0.088
1.99382,0.0293,-0.0169,0.0288,0.044
2.005883,0.0378,0.0123,0.0312,0.051
2.014067,0.0052,0.022,0.0336,0.04
2.025078,0.0257,0.0097,0.0407,0.049
2.032113,0.017,0.0072,0.091,0.093
2.047443,0.0253,-0.0123,0.0718,0.077
2.054447,-0.0002,0.0023,0.0693,0.069
2.066475,-0.0134,0.0049,0.0406,0.043
2.075207,-0.009,0.0217,0.0621,0.066
2.087307,-0.0093,0.024,0.0334,0.042
2.096497,-0.0236,0.0118,0.0693,0.074
