time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002074,0.5879,-0.884,1.3575,1.723
0.017598,0.2011,-0.7814,1.0944,1.36
0.021104,-0.189,-0.6855,0.3593,0.797
0.02969,-0.4496,-0.4046,-0.1252,0.618
0.041497,-0.5955,-0.1739,-0.8136,1.023
0.050538,-0.4862,-0.1676,-0.8034,0.954
0.061725,-0.1655,-0.359,-0.2793,0.484
0.071106,-0.0024,-0.4673,0.0843,0.475
0.083481,-0.082,-0.6125,0.3282,0.7
0.097107,-0.3004,-0.6964,0.21,0.787
0.102163,-0.6026,-0.838,-0.0112,1.032
0.114833,-0.6258,-0.884,-0.0556,1.085
0.124439,-0.7384,-0.9876,0.1654,1.244
0.13102,-0.8795,-1.1007,0.3096,1.443
0.149887,-0.9756,-1.2372,0.2435,1.594
0.152065,-1.1697,-1.1708,0.138,1.661
0.163571,-1.5056,-1.0728,0.1053,1.852
0.170796,-1.4947,-1.0068,0.2628,1.821
0.185148,-1.3776,-0.893,0.4278,1.697
0.190978,-1.2995,-0.8187,0.672,1.677
0.205235,-0.9242,-0.8272,1.1718,1.706
0.213,-0.8101,-0.8206,1.2748,1.719
0.226158,-0.8789,-0.8678,1.2087,1.728
0.231323,-1.1862,-0.8248,1.1359,1.838
0.246549,-1.399,-0.9524,0.6636,1.818
0.254581,-1.4361,-1.1227,0.3506,1.856
0.265937,-1.4838,-1.0712,0.1469,1.836
0.272712,-1.5689,-0.9939,0.2467,1.874
0.28576,-1.5761,-0.8825,0.9742,2.052
0.296915,-1.4436,-0.8934,1.8548,2.514
0.306066,-1.1511,-1.1548,2.5458,3.023
0.315085,-1.1854,-1.3292,2.5231,3.088
0.327334,-1.2593,-1.5945,2.0648,2.897
0.333439,-1.3157,-1.6521,1.5092,2.596
0.348431,-1.4029,-1.5317,0.4634,2.128
0.35461,-1.4164,-1.3304,-0.159,1.95
0.366541,-1.3356,-0.9918,-1.0163,1.949
0.376501,-1.3005,-0.8307,-1.3221,2.032
0.388556,-1.2143,-0.5386,-1.6265,2.1
0.396858,-1.1688,-0.4517,-1.6459,2.069
0.407709,-1.0091,-0.4651,-1.3452,1.745
0.41574,-0.9267,-0.5306,-1.0924,1.528
0.427976,-0.7514,-0.637,-0.4879,1.099
0.4344,-0.6094,-0.7398,-0.2348,0.987
0.44808,-0.4981,-0.8174,0.0753,0.96
0.458149,-0.3732,-0.7926,0.014,0.876
0.469833,-0.3199,-0.6492,-0.2717,0.773
0.476708,-0.3122,-0.6036,-0.5411,0.869
0.488485,-0.3804,-0.5627,-0.9866,1.198
0.500013,-0.5105,-0.5868,-1.2149,1.443
0.510875,-0.6678,-0.7432,-1.3948,1.716
0.516868,-0.736,-0.8003,-1.2749,1.676
0.531001,-0.6365,-1.0103,-0.9408,1.52
0.538703,-0.5296,-1.1837,-0.3456,1.342
