time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005559,-0.1445,0.1319,0.1938,0.275
0.011012,-0.1350,0.1352,0.2321,0.301
0.027121,-0.1269,0.0819,0.1728,0.230
0.031319,-0.0755,0.0916,0.0810,0.144
0.047424,-0.0498,0.1141,-0.0121,0.125
0.050612,-0.0370,0.1393,-0.0233,0.146
0.064002,0.1204,0.2295,-0.0464,0.263
0.070875,0.1634,0.2280,-0.0053,0.281
0.084274,0.0450,0.1441,0.1163,0.191
0.092505,-0.0738,0.0026,-0.0572,0.093
0.104499,0.0161,-0.1393,0.1759,0.225
0.111014,0.0394,-0.1340,0.2958,0.327
0.124751,0.0118,-0.0600,0.4394,0.444
0.130649,0.0195,-0.0298,0.4370,0.438
0.144300,0.0374,0.0193,0.3728,0.375
0.150944,0.0566,0.0582,0.2809,0.292
0.164345,0.0668,0.0720,0.1586,0.187
0.171026,0.0821,0.0640,0.1424,0.176
0.184309,0.0947,0.0547,0.1529,0.188
0.191549,0.0976,0.0626,0.2017,0.233
0.205180,0.1095,0.0220,0.2789,0.300
0.212471,0.1107,0.0079,0.3124,0.332
0.229658,0.1208,0.0236,0.3187,0.342
0.230589,0.1266,0.0860,0.3103,0.346
0.244915,0.1506,0.1343,0.3472,0.402
0.251330,0.1921,0.1699,0.3316,0.419
0.264338,0.2660,0.1780,0.2587,0.412
0.270719,0.2877,0.1776,0.1814,0.384
0.284048,0.2591,0.1696,0.1448,0.342
0.293158,0.2508,0.1930,0.1608,0.355
0.304545,0.2365,0.1999,0.2248,0.383
0.311364,0.2212,0.1974,0.2744,0.404
0.324835,0.1918,0.1570,0.2785,0.373
0.331425,0.1728,0.1525,0.2872,0.368
0.344394,0.1273,0.1195,0.2528,0.307
0.350754,0.0770,0.1302,0.2254,0.271
0.364113,0.0912,0.0959,0.2314,0.267
0.370436,0.0725,0.1116,0.2518,0.285
0.385041,0.0132,0.1559,0.3105,0.348
0.390625,-0.0100,0.1517,0.3191,0.353
0.407183,-0.0540,0.1060,0.2944,0.318
0.411117,-0.0585,0.1118,0.2746,0.302
0.424988,-0.1271,0.0663,0.2121,0.256
0.431388,-0.1550,0.0772,0.1689,0.242
0.444309,-0.1542,0.0691,0.1520,0.227
0.452727,-0.1518,0.0856,0.1662,0.241
0.464046,-0.1609,0.0765,0.2042,0.271
0.472728,-0.1697,0.0443,0.2301,0.289
0.483073,-0.1804,0.0267,0.2680,0.324
0.489722,-0.1923,0.0254,0.2725,0.334
0.504274,-0.2213,0.0017,0.2485,0.333
0.509448,-0.1915,0.0293,0.2247,0.297
0.522852,-0.1625,0.0466,0.1149,0.204
0.530673,-0.1159,0.0681,0.0579,0.146
0.544206,-0.1038,0.1092,-0.0088,0.151
0.549299,-0.0907,0.1400,-0.0518,0.175
0.562829,-0.1510,0.1478,0.0912,0.230
0.569642,-0.1447,0.1054,0.2501,0.308
0.583497,-0.1614,-0.0992,0.4270,0.467
0.589617,-0.1593,-0.1426,0.4741,0.520
0.602734,-0.2390,-0.1442,0.5285,0.598
0.611439,-0.3227,-0.1060,0.5526,0.649
0.623746,-0.2622,-0.0536,0.4626,0.534
0.631928,-0.2403,-0.0459,0.4146,0.481
0.643842,-0.1236,-0.0489,0.2505,0.284
0.650877,-0.0714,-0.0264,0.1018,0.127
0.663231,-0.0532,0.0222,-0.1106,0.125
0.670075,-0.0482,0.0463,-0.1552,0.169
0.684237,-0.0458,0.1226,-0.1666,0.212
0.689585,-0.0461,0.1403,-0.1285,0.196
0.704455,0.0191,0.1144,-0.1104,0.160
0.710697,0.0226,0.0875,-0.1170,0.148
0.723357,0.0759,0.0973,-0.0979,0.157
0.732751,0.1233,0.1325,-0.0268,0.183
0.743293,0.2292,0.2081,0.0893,0.322
0.750001,0.2728,0.2417,0.2003,0.416
0.763679,0.3259,0.2302,0.3951,0.562
0.769838,0.3141,0.1942,0.5014,0.623
0.783187,0.2767,0.1232,0.5697,0.645
0.790721,0.2304,0.1191,0.5284,0.589
0.803474,0.1672,0.0797,0.3251,0.374
0.810238,0.1560,0.0812,0.1654,0.241
0.824471,0.1335,0.0768,-0.0708,0.170
0.830392,0.1527,0.0821,-0.1273,0.215
0.843307,0.1581,0.1292,-0.0261,0.206
0.850764,0.1429,0.1261,0.1201,0.225
0.865320,0.1760,0.0923,0.3543,0.406
0.869876,0.1704,0.0604,0.4636,0.498
0.883832,0.1817,0.0427,0.4580,0.495
0.889818,0.1350,0.0355,0.4168,0.440
0.903933,0.1009,0.0531,0.2778,0.300
0.916620,0.0869,0.0770,0.2372,0.264
0.923529,0.1477,0.1146,0.2421,0.306
0.930128,0.1692,0.1115,0.3141,0.374
0.944694,0.2361,0.1703,0.3406,0.448
0.950126,0.2857,0.2233,0.3290,0.490
0.963727,0.2957,0.2918,0.2339,0.477
0.970650,0.2601,0.2921,0.1222,0.410
0.987044,0.2318,0.2700,-0.0587,0.361
0.991021,0.2071,0.2145,-0.0744,0.307
1.003964,0.1387,0.1484,-0.0449,0.208
1.010446,0.1233,0.0877,0.0151,0.152
1.026283,0.1071,0.0437,0.2135,0.243
1.031360,0.0571,0.0067,0.2966,0.302
1.043916,0.0106,-0.0239,0.3267,0.328
1.050358,-0.0219,-0.0392,0.3422,0.345
1.064394,-0.0737,-0.0447,0.3409,0.352
1.069931,-0.1074,-0.0720,0.3493,0.372
1.083655,-0.1026,-0.0667,0.3483,0.369
1.089868,-0.0603,-0.0197,0.3236,0.330
1.103831,0.0135,0.0351,0.1844,0.188
1.110861,0.0706,0.0882,0.1747,0.208
1.124570,0.0882,0.1784,0.0552,0.207
1.129814,0.0859,0.2163,0.1439,0.274
1.143801,0.0643,0.2139,0.2516,0.336
1.149739,0.0274,0.1766,0.1987,0.267
1.163369,-0.1377,0.0165,0.0929,0.167
1.171495,-0.2137,0.0299,0.0037,0.216
1.183479,-0.2645,0.0894,-0.0090,0.279
1.191103,-0.2592,0.1472,0.0380,0.300
1.204253,-0.2101,0.1486,0.1063,0.278
1.210585,-0.1688,0.1291,0.1051,0.237
1.223204,-0.1205,0.0684,0.1538,0.207
1.230430,-0.1021,0.0859,0.2334,0.269
1.244539,-0.0646,0.0781,0.3009,0.318
1.249521,-0.0316,0.0660,0.3851,0.392
1.264177,-0.0243,0.0751,0.6225,0.628
1.270081,-0.0233,-0.0234,0.6302,0.631
1.284797,-0.0573,-0.1832,0.5421,0.575
1.289985,-0.0348,-0.1647,0.4466,0.477
1.303660,-0.0176,-0.0072,0.3223,0.323
1.310007,0.0336,0.1139,0.2793,0.304
1.325494,0.0644,0.1903,0.2268,0.303
1.330091,0.0915,0.1867,0.1698,0.268
1.343871,0.0440,0.0986,0.1133,0.157
1.351563,-0.0141,0.0805,0.1052,0.133
1.366345,-0.1414,0.1662,0.1362,0.257
1.370722,-0.1782,0.2155,0.0980,0.296
1.384534,-0.1921,0.2246,0.0770,0.305
1.391124,-0.1912,0.1466,0.0823,0.255
1.405683,-0.2501,-0.0563,0.0684,0.265
