time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002558,1.6225,0.2618,-0.0107,1.644
0.006392,1.7677,0.4283,0.8349,2.001
0.019135,1.8589,0.4257,1.1558,2.23
0.028439,1.9456,0.4098,1.2392,2.343
0.03935,1.9286,0.2671,1.1624,2.268
0.047646,1.8938,0.214,1.0214,2.162
0.059892,1.7893,0.2601,0.8335,1.991
0.06639,1.6681,0.2935,0.6473,1.813
0.079469,1.5113,0.3446,0.7012,1.701
0.086512,1.5095,0.3435,0.8354,1.759
0.103788,1.613,0.2927,0.9894,1.915
0.106651,1.6978,0.1986,0.9197,1.941
0.118589,1.7094,0.1538,0.7883,1.889
0.129821,1.7249,0.1804,0.8588,1.935
0.139734,1.7023,0.2766,0.9083,1.949
0.145972,1.6704,0.3073,0.8134,1.883
0.159464,1.6744,0.3616,0.6133,1.819
0.169833,1.6697,0.4216,0.4399,1.777
0.180553,1.7261,0.4788,0.3194,1.82
0.186654,1.7557,0.4363,0.3871,1.85
0.19845,1.8109,0.3685,0.6895,1.972
0.206855,1.79,0.3101,0.8697,2.014
0.22041,1.7073,0.2639,0.8526,1.926
0.227388,1.6192,0.2394,0.7339,1.794
0.247333,1.5271,0.2147,0.4263,1.6
0.250436,1.5212,0.2872,0.3277,1.582
0.261271,1.6367,0.447,0.4385,1.752
0.266649,1.7575,0.5238,0.5135,1.904
0.280818,1.8393,0.5717,0.5986,2.017
0.289088,1.9052,0.5561,0.5889,2.07
0.303067,1.9534,0.5414,0.6477,2.128
0.306399,1.9018,0.5236,0.5912,2.059
0.320832,1.8151,0.5239,0.5326,1.963
0.325966,1.7783,0.5397,0.5215,1.93
0.339463,1.7624,0.4898,0.4874,1.893
0.34617,1.741,0.4809,0.4423,1.86
0.358716,1.7235,0.4316,0.4508,1.833
0.36605,1.8415,0.6264,0.5059,2.01
0.389754,1.6354,0.5908,0.7766,1.904
0.39081,1.5737,0.3709,0.6678,1.749
0.399116,1.734,0.2119,0.4718,1.809
0.406665,1.7524,0.2311,0.4131,1.815
0.419574,1.6077,0.1019,0.5091,1.689
0.426758,1.6545,0.1713,0.736,1.819
0.439354,1.7387,0.1951,1.2331,2.141
0.447244,1.8155,0.1712,1.4814,2.349
0.459435,1.7848,0.1737,1.1781,2.146
0.466224,1.6148,0.1644,0.9242,1.868
0.480804,1.3589,0.1489,0.4823,1.45
0.486381,1.2768,0.1368,0.2981,1.318
0.49989,1.3614,0.1113,0.5247,1.463
0.50763,1.4269,0.1289,0.8095,1.646
0.518736,1.5638,0.1391,0.9804,1.851
0.52776,1.577,0.1604,0.8996,1.823
0.54382,1.5241,0.185,0.5491,1.631
0.54613,1.5096,0.2376,0.2442,1.548
0.559989,1.4251,0.3761,-0.098,1.477
0.571557,1.3542,0.3959,-0.2756,1.438
0.578937,1.343,0.31,-0.3732,1.428
0.588572,1.4456,0.2475,-0.0344,1.467
0.598862,1.6683,0.2507,0.4565,1.748
0.607564,1.7407,0.2182,0.7059,1.891
0.61876,1.6632,0.2927,0.7596,1.852
0.626716,1.547,0.2798,0.6526,1.702
0.63844,1.6135,0.2383,0.4276,1.686
0.647948,1.7273,0.2701,0.3521,1.783
0.658405,1.9005,0.2885,0.4681,1.978
0.66867,1.9033,0.3832,0.6478,2.047
0.682155,1.9162,0.4366,0.8319,2.134
0.686196,1.9075,0.3894,0.9396,2.162
0.699062,2.0162,0.3736,1.0535,2.305
0.706967,1.9788,0.3543,1.0619,2.273
0.718736,1.9042,0.2924,0.9835,2.163
0.727141,1.8699,0.2663,0.8914,2.088
0.739874,1.7676,0.2918,0.7748,1.952
0.747321,1.7533,0.3399,0.7215,1.926
0.758867,1.7267,0.3861,0.6112,1.872
0.766074,1.7456,0.3708,0.5746,1.875
0.779997,1.7597,0.3188,0.5352,1.867
0.786134,1.7253,0.293,0.5046,1.821
0.798504,1.7996,0.3265,0.4204,1.877
0.807689,1.7719,0.3308,0.3646,1.839
0.819393,1.7821,0.2842,0.2872,1.827
0.826737,1.7094,0.3018,0.2219,1.75
0.838823,1.6263,0.3062,0.1666,1.663
0.846891,1.5719,0.2837,0.1213,1.602
0.860162,1.5503,0.204,0.1122,1.568
0.866902,1.5259,0.2017,0.1288,1.545
0.881297,1.5441,0.1678,0.1594,1.561
0.886179,1.5676,0.153,0.178,1.585
0.899026,1.6134,0.1505,0.3453,1.657
0.905818,1.6711,0.1777,0.5271,1.761
0.920275,1.7509,0.2544,0.7612,1.926
0.925954,1.8248,0.3807,0.7726,2.018
0.939019,1.7596,0.4088,0.7115,1.942
0.947543,1.6866,0.3209,0.6535,1.837
0.958792,1.5934,0.1734,0.5432,1.692
0.967066,1.5379,0.1202,0.5461,1.636
0.982085,1.4739,0.1233,0.5444,1.576
0.986118,1.422,0.1939,0.5427,1.534
0.998707,1.4171,0.2568,0.6079,1.563
1.006849,1.4983,0.2612,0.6579,1.657
1.01872,1.5973,0.2281,0.6644,1.745
1.025948,1.6657,0.2453,0.6233,1.795
1.039341,1.6419,0.3055,0.6331,1.786
1.045852,1.6401,0.3902,0.643,1.804
1.059549,1.6431,0.4467,0.586,1.801
1.066386,1.6292,0.4633,0.5531,1.782
1.080722,1.6384,0.3887,0.4767,1.75
1.086203,1.616,0.3433,0.4385,1.709
1.099237,1.6152,0.3365,0.3596,1.689
1.105912,1.6529,0.3539,0.3382,1.724
1.11873,1.6396,0.3757,0.3525,1.719
1.128545,1.6412,0.3753,0.3591,1.721
1.139586,1.6732,0.3694,0.3295,1.745
1.148222,1.6913,0.372,0.2642,1.752
1.159233,1.7126,0.362,0.1562,1.757
1.167295,1.7344,0.3495,0.0867,1.771
1.184583,1.7342,0.3424,0.1008,1.771
1.186061,1.7283,0.3494,0.1552,1.77
1.199412,1.7074,0.3182,0.2642,1.757
1.206719,1.6811,0.2973,0.337,1.74
1.220141,1.6357,0.2464,0.4503,1.714
1.226509,1.6179,0.2351,0.4681,1.701
1.239064,1.5461,0.2082,0.558,1.657
1.247075,1.5226,0.1775,0.5786,1.638
1.259792,1.509,0.1207,0.5921,1.625
1.266709,1.5127,0.1088,0.5818,1.624
1.283126,1.4661,0.1555,0.6172,1.598
1.285954,1.4432,0.2028,0.6142,1.582
1.29956,1.4596,0.2489,0.5782,1.589
1.309072,1.4964,0.2832,0.5043,1.604
1.320224,1.5574,0.2957,0.4044,1.636
1.325853,1.601,0.3562,0.3355,1.674
1.339275,1.6031,0.392,0.3,1.677
1.347171,1.5909,0.4003,0.3099,1.67
1.358968,1.5598,0.3719,0.3531,1.642
1.365834,1.5145,0.3747,0.3388,1.597
1.378861,1.4815,0.3742,0.4106,1.582
1.388169,1.4935,0.3695,0.4608,1.606
1.399347,1.4925,0.3713,0.4603,1.605
1.407569,1.56,0.3091,0.5555,1.685
1.418743,1.6194,0.3208,0.5571,1.742
1.427669,1.5908,0.3034,0.5136,1.699
1.440098,1.5635,0.3188,0.4275,1.652
1.446391,1.5401,0.3153,0.4017,1.623
1.459351,1.508,0.3197,0.3235,1.575
1.465849,1.493,0.33,0.274,1.553
1.478549,1.5297,0.3054,0.2913,1.587
1.490118,1.4015,0.2706,0.2624,1.451
1.498887,1.2843,0.2642,0.2423,1.333
1.506227,1.1727,0.2299,0.187,1.21
1.518852,1.0509,0.2183,0.1842,1.089
1.526667,1.0568,0.1756,0.2411,1.098
1.538598,1.0747,0.1128,0.3075,1.124
1.547139,1.0518,0.0893,0.3906,1.126
1.558254,1.0361,0.114,0.4856,1.15
1.567128,1.0291,0.1183,0.4829,1.143
1.579438,0.9995,0.1256,0.4328,1.096
1.586707,0.9823,0.14,0.3256,1.044
1.605062,0.9841,0.1687,0.2521,1.03
1.60632,1.0087,0.2122,0.243,1.059
1.622094,1.0531,0.2857,0.2359,1.116
1.626433,1.0351,0.3081,0.2474,1.108
1.639143,1.0929,0.2513,0.2371,1.146
1.647332,1.0932,0.2334,0.222,1.14
1.658981,1.049,0.2099,0.2765,1.105
1.66605,1.0229,0.2175,0.3144,1.092
1.679667,1.0131,0.2035,0.355,1.093
1.689478,1.0246,0.1931,0.3386,1.096
1.699024,0.9677,0.2354,0.3201,1.046
1.706776,0.9772,0.2671,0.3614,1.076
1.718732,0.9783,0.2508,0.3736,1.077
1.727361,0.9999,0.198,0.3521,1.078
1.7392,1.0144,0.1485,0.314,1.072
1.746472,0.986,0.163,0.2544,1.031
1.75856,0.8384,0.1897,0.1773,0.878
1.768314,0.7669,0.1821,0.1424,0.801
1.779263,0.7257,0.1949,0.1439,0.765
1.787079,0.6888,0.1913,0.0926,0.721
1.799087,0.6484,0.1376,0.1078,0.672
1.80642,0.6105,0.1876,0.1413,0.654
1.818915,0.5451,0.1393,0.1736,0.589
1.826517,0.4669,0.092,0.1879,0.512
1.83964,0.4031,0.0465,0.177,0.443
1.84573,0.3622,0.0325,0.1122,0.381
1.858898,0.3677,0.0474,0.0963,0.383
1.866511,0.3131,0.0334,0.0812,0.325
1.879518,0.2604,0.0504,0.0836,0.278
1.885926,0.2278,0.059,0.0745,0.247
1.900811,0.2143,0.044,0.097,0.239
1.907774,0.1903,0.0578,0.1079,0.226
1.919034,0.1651,0.0353,0.1382,0.218
1.926296,0.1823,0.0102,0.1497,0.236
1.938253,0.165,0.0162,0.1208,0.205
1.949563,0.1181,0.0193,0.1042,0.159
1.958578,0.0563,0.0322,0.0783,0.102
1.966404,0.0716,0.0074,0.0529,0.089
1.979196,0.1013,0.0312,-0.0033,0.106
1.989028,0.1037,0.0553,-0.009,0.118
2.000794,0.0541,0.0966,0.0284,0.114
2.006935,0.0728,0.0946,-0.0297,0.123
2.018506,0.0565,0.0512,-0.0253,0.08
2.026487,0.0429,0.0314,0.0078,0.054
2.038422,-0.0522,0.0213,-0.0165,0.059
2.047487,-0.012,0.0206,0.0001,0.024
2.058857,0.0342,0.0163,-0.0288,0.048
2.067595,0.0466,0.0351,-0.005,0.059
2.07911,0.0562,0.1061,0.0451,0.128
2.087077,0.042,0.111,0.0903,0.149
2.100286,0.0391,0.0527,0.0184,0.068
2.106935,0.0005,-0.0372,-0.0055,0.038
2.11875,-0.0825,-0.079,-0.0366,0.12
2.126558,-0.1053,-0.0749,0.1211,0.177
2.139657,-0.0756,-0.0821,0.2525,0.276
2.148639,-0.0345,-0.0657,0.2832,0.293
2.159348,-0.0324,-0.0773,0.2015,0.218
2.165822,-0.0632,-0.0452,0.0913,0.12
2.179083,-0.0207,0.0114,-0.0113,0.026
2.186656,0.0078,0.0472,-0.0514,0.07
2.200924,0.0449,0.0849,-0.0796,0.125
2.206754,0.0737,0.1027,-0.096,0.159
2.21879,0.0922,0.0786,-0.0336,0.126
2.226724,0.0658,0.0936,0.0621,0.13
2.239489,0.0342,0.0677,0.1719,0.188
2.24597,0.0002,0.0502,0.1762,0.183
2.258156,-0.0096,-0.0084,0.2117,0.212
2.267024,-0.0079,0.0095,0.2546,0.255
2.279064,0.037,0.0211,0.197,0.202
2.28653,0.0786,0.0025,0.1279,0.15
2.299975,0.0519,0.0524,0.0304,0.08
2.309093,0.0447,0.0712,-0.0049,0.084
2.318843,0.0307,0.095,-0.0042,0.1
2.32757,0.0165,0.0738,-0.0496,0.09
2.338691,0.0071,0.0329,-0.1307,0.135
2.347073,-0.0363,0.0335,-0.1852,0.192
2.35873,-0.0671,0.0417,-0.1703,0.188
2.368274,-0.0581,0.0447,-0.0764,0.106
2.379091,0.0223,0.049,0.0961,0.11
2.386722,0.0501,0.0131,0.1579,0.166
2.401084,0.0582,-0.0241,0.1426,0.156
2.407275,0.0359,-0.062,0.1205,0.14
2.418572,-0.0302,-0.0787,0.0796,0.116
2.426413,-0.0728,-0.0491,0.0509,0.102
2.438914,-0.0775,-0.0278,0.008,0.083
2.446851,-0.0688,-0.0387,-0.0373,0.087
2.458373,-0.0685,-0.0413,-0.0369,0.088
2.467508,0.0013,0.0698,-0.0343,0.078
2.478503,0.0189,0.1082,0.0013,0.11
2.488609,0.0551,0.1111,0.068,0.141
2.498648,0.0383,0.0714,0.1561,0.176
2.506295,-0.0093,0.0535,0.1532,0.163
2.518685,-0.0799,0.0045,0.1577,0.177
2.527386,-0.0923,-0.0327,0.1575,0.185
2.540014,-0.0597,0.0011,0.1765,0.186
2.546525,-0.0488,0.0077,0.1453,0.153
2.558704,0.0243,0.078,0.1193,0.145
2.570068,0.025,0.0894,0.0599,0.11
2.580783,0.0206,0.0857,-0.0115,0.089
2.586184,-0.0199,0.0601,-0.0326,0.071
2.601438,-0.0552,0.009,0.0206,0.06
2.607097,-0.0783,-0.004,0.1118,0.137
2.618539,-0.0702,-0.0248,0.1501,0.168
2.626837,-0.0705,-0.026,0.1288,0.149
2.638665,0.0038,-0.018,0.0429,0.047
2.647019,0.0509,0.0292,0.0169,0.061
2.660202,0.0978,0.0653,0.0241,0.12
2.669361,0.083,0.0952,-0.0166,0.127
2.678631,0.0557,0.0451,-0.0717,0.101
2.68753,0.0359,0.0343,-0.0693,0.085
2.701139,-0.0051,0.0031,-0.0671,0.067
2.706918,-0.0328,-0.0167,-0.0816,0.09
2.719603,-0.0377,-0.0159,-0.0314,0.052
2.726737,-0.0398,-0.0138,0.021,0.047
2.738452,-0.0328,-0.0322,0.0877,0.099
2.745904,-0.0094,-0.053,0.1471,0.157
2.758819,0.0007,-0.0145,0.2711,0.271
2.768539,-0.0161,0.0142,0.2728,0.274
2.780329,-0.0148,0.0205,0.1767,0.179
2.786038,-0.0308,0.0379,0.1361,0.145
2.801913,-0.0219,0.0646,0.0645,0.094
2.805902,0.0012,0.0596,0.0863,0.105
2.818602,0.0882,0.1047,0.0841,0.161
2.826837,0.0916,0.0843,0.0768,0.146
2.838685,0.0268,0.0682,0.0766,0.106
2.847699,-0.0261,0.0447,0.1051,0.117
2.858986,-0.0258,0.0239,0.0882,0.095
2.867969,-0.008,0.0125,0.0523,0.054
2.879787,-0.028,0.0106,0.038,0.048
2.886372,-0.0165,-0.006,0.0478,0.051
2.906327,0.0211,0.0372,0.0791,0.09
2.90725,-0.0138,0.0153,0.0456,0.05
2.922224,-0.0145,0.0149,-0.0164,0.027
2.92604,-0.016,0.0009,-0.0951,0.096
2.938472,-0.0357,-0.0105,-0.1784,0.182
2.946488,0.0093,0.0081,-0.1373,0.138
2.959892,0.0308,0.0516,0.0925,0.11
2.966361,0.0346,0.0227,0.1755,0.18
2.979106,0.0066,-0.0415,0.2823,0.285
2.986134,-0.0326,-0.102,0.2981,0.317
3.008546,-0.1225,-0.1709,0.2518,0.328
3.009448,-0.1064,-0.1474,0.2035,0.273
3.018441,-0.0595,-0.0235,0.1363,0.151
3.025882,-0.0314,0.0406,0.0479,0.07
3.038464,0.0101,0.1086,-0.0068,0.109
3.046568,0.0335,0.0976,-0.0255,0.106
3.059011,0.0818,0.0807,-0.0348,0.12
3.06754,0.066,0.0851,-0.0323,0.112
3.079155,0.0008,0.0368,0.049,0.061
3.087541,-0.0047,0.0065,0.1373,0.137
3.099663,-0.0101,-0.0198,0.2254,0.226
3.108044,-0.0075,-0.0305,0.2704,0.272
3.119377,-0.009,-0.0236,0.3154,0.316
3.127223,-0.0045,-0.0165,0.2816,0.282
3.138425,-0.0132,-0.0409,0.2145,0.219
3.146541,-0.0045,-0.0369,0.1427,0.147
3.158452,-0.0222,-0.0213,0.0519,0.06
3.166691,0.0007,-0.0091,0.0113,0.015
3.178522,0.0294,0.047,-0.0747,0.093
3.186489,0.0575,0.0656,-0.12,0.148
3.198527,0.0637,0.1268,-0.1676,0.22
3.206344,0.0529,0.0823,-0.1674,0.194
3.218717,0.0518,0.0797,-0.1673,0.192
3.226055,0.0593,0.0385,0.0264,0.075
3.238392,0.0316,0.0086,0.2172,0.22
3.245841,0.0003,-0.0084,0.2737,0.274
3.259262,-0.0656,-0.0381,0.2059,0.219
3.267044,-0.0767,-0.0733,0.1577,0.19
3.279721,-0.0841,-0.045,0.1027,0.14
3.286337,-0.0576,-0.0052,0.0885,0.106
3.299613,-0.0271,0.0408,0.1197,0.129
3.305978,0.0168,0.0571,0.1293,0.142
3.32222,0.0342,0.0639,0.0887,0.115
3.326226,0.0186,0.0447,0.0505,0.07
3.340049,-0.0098,0.0346,0.0266,0.045
3.345834,-0.0233,0.0252,0.0267,0.044
3.360491,-0.0436,0.0115,0.1035,0.113
3.366851,0.0126,0.0147,0.1395,0.141
3.378454,-0.0071,0.0411,0.1705,0.176
3.38833,0.0063,0.0154,0.1275,0.129
3.403548,-0.0092,0.0056,0.0581,0.059
3.405987,-0.0339,0.0004,0.0344,0.048
3.419749,-0.0483,-0.0376,0.0179,0.064
3.426462,-0.0622,-0.0501,0.0539,0.096
3.438795,-0.047,-0.0677,0.1257,0.15
3.446317,-0.0313,-0.0737,0.1614,0.18
3.4593,-0.0385,-0.0687,0.1612,0.179
3.469775,-0.0543,-0.0465,0.1228,0.142
3.478545,-0.0496,-0.0386,0.0415,0.075
3.488066,-0.0538,-0.0313,-0.0109,0.063
3.498735,-0.0153,-0.0081,-0.013,0.022
3.506163,0.0142,0.05,0.0135,0.054
3.519367,0.0057,0.075,0.0399,0.085
3.526202,0.0247,0.0835,0.0328,0.093
3.53839,0.0238,0.0525,-0.0006,0.058
3.546822,0.0302,0.0307,-0.0363,0.056
3.559313,-0.0039,0.026,-0.0745,0.079
3.567164,-0.0032,0.0299,-0.1006,0.105
3.57903,0.0221,0.0442,-0.0453,0.067
3.586345,0.0299,0.0424,0.0385,0.065
3.599866,0.0277,0.0434,0.038,0.064
3.607695,-0.0163,0.0085,0.2242,0.225
3.618492,-0.0378,-0.0296,0.1759,0.182
3.627409,-0.0551,-0.0224,0.1136,0.128
3.638135,-0.045,0.032,0.0874,0.103
3.646138,-0.0087,0.0665,0.0972,0.118
3.658967,0.0095,0.0836,0.1236,0.15
3.668177,0.0296,0.0721,0.1164,0.14
3.679924,-0.0243,0.0296,0.0973,0.105
3.687378,-0.0317,0.0192,0.1189,0.125
3.701417,-0.036,0.0217,0.1524,0.158
3.706025,-0.0182,0.0319,0.1142,0.12
3.71853,-0.0289,0.0126,0.0881,0.094
3.725972,-0.0395,0.0022,0.0884,0.097
3.738293,0.007,0.0434,0.0983,0.108
3.747656,-0.0218,0.0173,0.0746,0.08
3.759259,-0.0284,0.0035,0.0079,0.03
3.767806,-0.053,-0.0149,-0.0539,0.077
3.778633,-0.0525,-0.0087,-0.0917,0.106
3.785881,-0.0229,0.0386,-0.0337,0.056
3.80005,0.0052,0.0458,0.0624,0.078
3.811224,0.0226,0.0021,0.1102,0.112
3.827674,0.004,-0.0428,0.1578,0.164
3.828477,-0.0216,-0.0505,0.1479,0.158
3.838286,-0.087,-0.0765,0.1571,0.195
3.846569,-0.068,-0.0785,0.1354,0.171
3.858343,-0.0275,-0.043,0.1256,0.136
3.866707,-0.0098,0.0099,0.092,0.093
3.878522,0.0019,0.0599,0.0465,0.076
3.886354,-0.013,0.0863,0.0155,0.089
3.89946,0.0109,0.0759,0.0063,0.077
3.906226,0.0055,0.0513,0.0472,0.07
3.919187,0.0284,0.0443,0.0617,0.081
3.926027,0.0062,0.0404,0.0689,0.08
