time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.085197265625,0.0885,4.124,7.5446,8.5986
0.10379052734375,-0.7059,4.4925,7.2383,8.5483
0.122383544921875,-1.2586,5.3982,7.4034,9.2485
0.140976806640625,-1.4357,4.9747,9.4086,10.7392
0.159570068359375,-0.4618,3.9171,10.5703,11.2822
0.1781630859375,0.0144,3.454,11.3719,11.8849
0.19675634765625,-0.0407,1.9322,12.5348,12.6829
0.215349609375,-0.1747,1.809,11.2247,11.3709
0.233942626953125,0.1938,2.9025,8.6022,9.0807
0.252535888671875,1.3831,3.8764,7.2263,8.3162
0.271129150390625,1.7324,4.1097,7.151,8.4277
0.289722412109375,0.4953,4.1276,7.0193,8.1581
0.3083154296875,-0.2034,4.0427,7.2754,8.3256
0.32690869140625,-0.1507,3.8812,8.8917,9.703
0.345502197265625,0.4702,3.1813,10.1563,10.6533
0.364095458984375,0.9081,2.0782,9.7603,10.0203
0.3826884765625,0.9284,2.0506,9.4074,9.6729
0.40128173828125,1.5111,1.7348,9.3224,9.6021
0.419875,1.3519,1.206,9.0018,9.1823
0.438468017578125,0.9835,0.9535,9.3356,9.4356
0.457061279296875,0.6604,0.2824,9.9852,10.011
0.475654541015625,0.1998,0.0562,9.4265,9.4288
0.49424755859375,-0.1352,0.53,8.6919,8.7091
0.5128408203125,-0.4977,0.6688,9.4887,9.5253
0.53143408203125,-0.5886,0.1555,10.3609,10.3788
0.550027099609375,0.2106,0.3613,10.2317,10.2403
0.568620361328125,0.9176,1.2502,9.2507,9.3798
0.587213623046875,1.1246,1.7312,8.8881,9.1247
0.605806884765625,0.9691,1.925,9.21,9.4588
0.62439990234375,-0.0921,1.9825,9.4181,9.625
0.6429931640625,-1.011,2.5639,9.9888,10.3621
0.661586669921875,0.2919,2.8415,9.8285,10.2352
0.680179931640625,1.3208,2.9958,10.6098,11.1035
0.69877294921875,0.9571,2.8893,11.744,12.132
0.7173662109375,0.4965,3.1753,11.9103,12.3363
0.73595947265625,0.3685,3.2315,10.6947,11.1783
0.754552490234375,-0.195,3.2207,9.6383,10.164
0.773145751953125,-0.2644,3.9817,10.2903,11.037
0.791739013671875,0.9691,4.6684,10.6433,11.6624
0.81033203125,1.7408,4.3131,10.8574,11.8117
0.82892529296875,1.919,4.0642,11.4269,12.2791
0.8475185546875,1.8855,3.4241,12.4857,13.0833
0.866111572265625,1.3065,2.8355,13.2287,13.5921
0.884704833984375,1.407,2.3366,13.3615,13.6371
0.903298095703125,1.7252,1.7456,12.4211,12.6613
0.92189111328125,1.4345,1.2634,10.9675,11.1328
0.940484375,1.6056,1.0744,9.8046,9.9931
0.959077880859375,2.5161,1.2359,9.4277,9.8356
0.9776708984375,2.4132,0.9954,8.942,9.3152
0.99626416015625,1.785,0.6736,8.8857,9.0883
1.014857421875,1.2897,0.4104,9.789,9.8822
1.033450439453125,0.5803,0.28,9.7878,9.809
1.052043701171875,0.3601,0.4594,9.1454,9.164
1.070636962890625,0.8303,0.8506,8.9252,9.004
1.08922998046875,1.1821,0.9464,9.4014,9.5226
1.1078232421875,0.8853,0.9942,9.9517,10.0404
1.12641650390625,0.7406,0.8183,10.1563,10.2161
1.145009521484375,1.1533,0.7071,10.3729,10.4607
1.163602783203125,1.8628,1.0983,10.3872,10.61
1.182196044921875,1.8078,1.0564,9.8225,10.0432
1.2007890625,1.1761,0.7801,9.5737,9.6771
1.21938232421875,0.9846,0.6963,9.7974,9.8714
1.2379755859375,1.4895,0.9392,9.9123,10.0675
1.256568603515625,1.7169,1.0421,9.6658,9.8722
1.275161865234375,1.3268,1.0744,9.2901,9.4457
1.29375537109375,1.2455,1.0564,9.551,9.6896
1.312348388671875,1.3998,1.0792,9.8728,10.0298
1.330941650390625,1.2359,1.1486,9.7101,9.8556
1.349534912109375,1.0935,1.2371,9.7866,9.9249
1.3681279296875,1.1617,1.1151,9.7256,9.858
1.38672119140625,1.3053,0.9571,9.7938,9.9267
1.405314453125,1.3304,0.9368,10.1025,10.2327
1.423907470703125,1.1833,1.0385,10.191,10.3119
1.442500732421875,1.328,0.9236,9.8764,10.008
1.461093994140625,1.3675,0.9918,9.6586,9.8052
1.47968701171875,1.1916,1.0744,9.6287,9.7615
1.4982802734375,0.8806,1.0923,10.0223,10.1201
1.51687353515625,1.2359,1.0158,10.6086,10.7285
1.535466552734375,1.3089,0.8865,10.3741,10.4938
1.554059814453125,0.9165,0.8447,9.7364,9.8158
1.572653076171875,0.7298,0.8997,9.5031,9.5734
1.59124609375,1.0648,0.8566,9.8572,9.9515
1.609839599609375,1.2706,0.9141,10.215,10.3342
1.628432861328125,1.1581,0.7944,10.2054,10.3016
1.64702587890625,0.8028,0.7035,9.6742,9.7329
1.665619140625,0.7836,0.7214,9.3571,9.4176
1.68421240234375,0.9858,0.8207,9.484,9.5703
1.702805419921875,1.2168,0.7478,9.7448,9.8489
1.721398681640625,1.3412,0.7753,9.8429,9.964
1.739991943359375,1.2395,0.8423,9.7878,9.9019
1.7585849609375,1.2096,0.8626,9.7663,9.8787
1.77717822265625,1.1258,0.7872,9.6311,9.7286
1.795771484375,0.9811,0.7836,9.7256,9.8063
1.814364501953125,0.9165,0.8195,10.1492,10.2234
1.832957763671875,0.8339,0.865,10.2221,10.2925
1.851551025390625,0.8339,0.7621,9.9649,10.0287
1.87014404296875,0.8506,0.7286,9.539,9.6045
1.8887373046875,0.9236,0.7884,9.3906,9.4688
1.907330322265625,0.9464,0.7645,9.7484,9.824
1.925923828125,1.0433,0.7119,10.1803,10.2583
1.94451708984375,1.0612,0.7621,10.2401,10.3231
1.963110107421875,1.0337,0.6903,9.7208,9.8
1.981703369140625,1.06,0.6891,9.5521,9.6355
2.00029638671875,1.2311,0.7597,9.7651,9.8717
2.0188896484375,1.2502,0.743,9.7962,9.9036
2.03748291015625,1.2168,0.7908,9.6933,9.8013
2.056075927734375,1.1282,0.8447,9.813,9.9137
2.074669189453125,1.1713,0.8076,10.1121,10.2117
2.093262451171875,0.871,0.8686,9.7208,9.7984
2.11185546875,0.9846,0.8459,9.3129,9.4029
2.13044873046875,1.7779,0.8518,9.7161,9.914
2.1490419921875,1.4465,0.9117,10.0439,10.1884
2.167635009765625,0.9308,1.5888,9.7519,9.9243
2.186228271484375,1.5589,1.8664,9.4241,9.7328
2.204821533203125,1.9394,1.2251,8.3019,8.613
2.22341455078125,1.7169,0.8447,8.1906,8.4112
2.242008056640625,1.547,0.5444,8.8032,8.9546
2.260601318359375,1.4166,0.7741,9.4505,9.5873
2.2791943359375,2.016,1.0421,8.3055,8.6099
2.29778759765625,1.8568,0.6114,8.9216,9.1333
2.316380859375,0.1914,0.5731,11.9665,11.9817
2.334973876953125,0.4319,0.6305,11.9964,12.0207
2.353567138671875,0.95,0.9236,11.2774,11.3549
2.37216015625,1.0241,1.0337,10.4818,10.5823
2.39075341796875,1.212,1.0026,10.3669,10.4855
2.4093466796875,0.8973,0.9823,10.276,10.3617
2.427939697265625,0.9835,1.0672,9.8967,10.0026
2.446532958984375,1.3065,1.0397,9.8656,10.0059
2.4651259765625,1.6211,1.0469,10.0092,10.1935
2.48371923828125,1.8461,1.0301,9.9721,10.1937
2.5023125,1.7827,0.9511,9.3727,9.588
2.520905517578125,1.5745,0.9703,9.186,9.3704
2.539498779296875,1.2263,1.0074,9.6036,9.7338
2.558092041015625,1.1641,0.9691,9.9888,10.103
2.576685302734375,1.3364,0.9368,9.9206,10.054
2.595278564453125,1.4118,0.944,9.6897,9.8374
2.613871826171875,1.4357,0.9392,9.6215,9.7733
2.63246484375,1.2586,0.8937,9.7663,9.8875
2.65105810546875,1.194,0.9141,9.9912,10.1038
2.6696513671875,1.4752,0.9165,10.1946,10.3415
2.688244384765625,1.4847,0.8578,9.813,9.9617
2.706837646484375,1.4345,0.8985,9.5246,9.6739
2.7254306640625,1.389,0.8363,9.7161,9.8504
2.74402392578125,1.3364,0.8901,9.9829,10.1112
2.762616943359375,1.4967,0.9392,9.9553,10.1109
2.781210205078125,1.5194,0.9165,9.728,9.8885
2.799803466796875,1.5015,0.9416,9.6108,9.7728
2.818396484375,1.3807,0.9703,9.6491,9.7955
2.83698974609375,1.3711,0.9559,9.7184,9.8611
2.8555830078125,1.3962,0.9559,9.7759,9.9212
2.874176025390625,1.3089,0.9846,9.7065,9.8437
2.892769287109375,1.3819,0.9284,9.8106,9.9508
2.911362548828125,1.4106,0.8937,9.8764,10.0165
2.929955810546875,1.4118,0.9488,9.862,10.0076
2.948549072265625,1.4668,0.9224,9.7005,9.854
2.96714208984375,1.6044,0.9356,9.7783,9.9531
2.9857353515625,1.4847,0.9009,9.7998,9.9525
3.00432861328125,1.4465,0.9404,9.7687,9.9199
3.022921630859375,1.4656,0.9488,9.7005,9.8564
3.041514892578125,1.4321,0.9488,9.6694,9.8208
3.06010791015625,1.4177,0.9547,9.6215,9.7722
3.078701171875,1.4405,0.95,9.6634,9.8163
3.097294189453125,1.3783,1.0122,9.7639,9.9125
3.115887451171875,1.401,0.9727,9.9171,10.0626
3.134480712890625,1.4501,0.9535,9.9601,10.1102
3.15307373046875,1.4596,0.9679,9.8189,9.9739
3.1716669921875,1.5278,0.8794,9.6431,9.8029
3.19026025390625,1.5386,0.859,9.6909,9.8498
3.208853271484375,1.4764,0.8626,9.6682,9.8182
3.22744677734375,1.5206,0.9021,9.6838,9.8438
3.2460400390625,1.5924,0.9476,9.7065,9.8818
3.264633056640625,1.5709,0.9739,9.6359,9.8116
3.283226318359375,1.5434,1.0421,9.7101,9.887
3.3018193359375,1.5266,1.0074,9.8297,9.9984
3.32041259765625,1.5374,0.9811,9.8333,10.001
3.339005615234375,1.547,0.999,9.6921,9.8655
3.357598876953125,1.5697,1.0289,9.6395,9.8205
3.376192138671875,1.523,1.0277,9.7232,9.8953
3.39478515625,1.5852,1.0301,9.9553,10.1333
3.41337841796875,1.5541,1.0481,9.7508,9.9293
3.4319716796875,1.5494,1.078,9.6108,9.7944
3.450564697265625,1.5817,1.0457,9.7089,9.8923
3.469157958984375,1.4261,1.0923,9.8178,9.9807
3.4877509765625,1.5039,1.1354,9.8764,10.0545
3.50634423828125,1.5769,1.066,9.8345,10.017
3.524937255859375,1.5338,1.0923,9.673,9.8546
3.543530517578125,1.5589,1.0277,9.6072,9.787
3.5621240234375,1.6534,1.0205,9.6622,9.8556
3.580717041015625,1.663,0.9727,9.8501,10.0367
3.599310302734375,1.5027,1.0313,9.8536,10.0208
3.617903564453125,1.4405,1.0564,9.7998,9.9613
3.63649658203125,1.5003,1.0361,9.8465,10.0139
3.65508984375,1.5793,1.0481,9.7591,9.9415
3.673682861328125,1.6104,1.0337,9.6395,9.8276
3.692276123046875,1.584,1.0169,9.8082,9.9872
3.710869140625,1.517,1.0696,9.8417,10.0152
3.72946240234375,1.5099,1.0265,9.7208,9.8908
3.7480556640625,1.5984,1.0445,9.8369,10.0205
3.766648681640625,1.6594,1.0493,9.8118,10.0063
3.785241943359375,1.5362,1.1258,9.4983,9.6874
3.803835205078125,1.5003,1.2718,9.5246,9.7256
3.82242822265625,1.5434,1.1809,9.7328,9.9249
3.841021484375,1.389,1.1821,9.9948,10.1599
3.859614501953125,1.2718,1.1605,9.9685,10.1161
3.878207763671875,1.2945,1.3065,9.6096,9.784
3.89680078125,1.4931,1.2909,9.5665,9.768
3.915394287109375,1.5494,1.0624,9.7675,9.9465
3.933987548828125,1.6199,1.0253,10.1169,10.2969
3.95258056640625,1.9621,0.9117,10.0989,10.3281
3.971173828125,2.0949,0.9416,9.6156,9.8861
3.98976708984375,1.9059,0.8985,9.2411,9.4783
4.008360107421875,1.7731,0.9081,9.4816,9.6886
4.026953369140625,1.9155,1.0086,9.7615,9.9987
4.04554638671875,1.876,1.0457,9.6646,9.9004
4.0641396484375,1.7049,1.0385,9.5701,9.7761
4.082732666015625,1.6726,1.0493,9.6921,9.8912
4.101325927734375,1.6582,1.1486,9.7089,9.9162
4.119919189453125,1.7145,1.1282,9.7065,9.9211
4.13851220703125,1.7707,1.06,9.6814,9.8989
4.15710546875,1.9238,0.9954,9.7747,10.0118
4.175698486328125,2.2241,1.0289,9.7711,10.0737
4.194291748046875,2.1775,1.0265,9.4756,9.7766
4.212884765625,2.0351,1.0397,9.2411,9.5195
4.23147802734375,2.1141,1.1222,9.4911,9.7883
4.250071533203125,2.0351,1.194,9.5821,9.8683
4.26866455078125,1.8473,1.3041,9.5761,9.8394
4.2872578125,1.7946,1.2778,9.7436,9.9895
4.30585107421875,1.6845,1.3125,9.7986,10.0286
4.324444091796875,1.6331,1.3292,9.7508,9.9755
4.343037353515625,1.6774,1.3651,9.7352,9.9725
4.36163037109375,1.6403,1.3747,9.7292,9.9618
4.3802236328125,1.4548,1.3496,9.6634,9.8651
4.398816650390625,1.3783,1.3531,9.9398,10.1257
4.417409912109375,1.5266,1.2849,10.0893,10.2848
4.436003173828125,1.6618,1.261,9.9817,10.1973
4.45459619140625,1.7121,1.2431,9.813,10.0385
4.473189453125,1.669,1.2514,9.6299,9.8533
4.491782470703125,1.7013,1.3256,9.5294,9.7704
4.510375732421875,1.809,1.279,9.5414,9.7952
4.52896875,1.6367,1.3962,9.7783,10.0121
4.54756201171875,1.7204,1.3244,10.1061,10.3367
4.5661552734375,1.8162,1.2885,10.1862,10.4268
4.58474853515625,1.8257,1.2634,9.8178,10.0657
4.603341796875,1.8616,1.3184,9.5713,9.8394
4.621934814453125,1.8233,1.3268,9.7316,9.9895
4.640528076171875,1.882,1.2706,9.7196,9.9814
4.65912109375,2.1176,1.2514,9.6096,9.9194
4.67771435546875,2.2828,1.2179,9.3787,9.729
4.6963076171875,2.1212,1.2526,9.0616,9.3905
4.714900634765625,2.138,1.3089,8.8857,9.2326
4.733493896484375,2.2397,1.2562,9.0174,9.3759
4.7520869140625,2.3282,1.2706,9.2542,9.6268
4.77068017578125,2.3797,1.2263,9.5103,9.8799
