time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003409,-0.059,-0.0189,0.0154,0.064
0.009745,-0.0731,0.0353,0.1543,0.174
0.015159,-0.067,0.0335,0.1327,0.152
0.026215,-0.0552,0.0358,0.1472,0.161
0.033361,-0.0266,0.0112,0.0538,0.061
0.050095,-0.0435,-0.0303,0.0467,0.071
0.053543,-0.0245,-0.0422,0.0013,0.049
0.065733,-0.0246,0.0089,0.0444,0.052
0.074412,-0.0204,0.0046,0.0397,0.045
0.085815,0.0126,0.024,0.1068,0.11
0.093385,0.0208,0.0262,0.0972,0.103
0.106972,0.0307,0.0185,0.1116,0.117
0.11422,0.0186,-0.0252,0.1188,0.123
0.126087,0.0185,-0.0035,0.1044,0.106
0.134046,0.0229,-0.0009,0.0805,0.084
0.147796,0.0007,0.0135,0.0613,0.063
0.158216,-0.0001,0.0062,0.0661,0.066
0.167111,0.0044,0.0157,0.0684,0.07
0.173581,-0.0031,0.0275,0.0636,0.069
0.185934,-0.006,0.0124,0.1091,0.11
0.193419,-0.0134,-0.0073,0.0852,0.087
0.208526,-0.0133,-0.0288,0.0972,0.102
0.213091,-0.0128,-0.0022,0.0804,0.081
0.225524,-0.0153,0.0028,0.0828,0.084
0.234265,-0.0057,0.003,0.1067,0.107
0.2459,-0.0101,-0.0042,0.1068,0.107
0.253911,0.0114,-0.0064,0.1283,0.129
0.266718,-0.0102,0.0105,0.1211,0.122
0.273194,-0.0341,-0.0108,0.1187,0.124
0.285961,-0.0336,-0.0009,0.09,0.096
0.294017,-0.0373,0.0114,0.1164,0.123
0.308128,-0.0408,0.0092,0.0757,0.086
0.314453,-0.0344,-0.0125,0.0805,0.088
0.32704,-0.0209,0.0022,0.1141,0.116
0.333512,-0.0218,-0.0143,0.0926,0.096
0.345443,-0.0274,0.0005,0.1118,0.115
0.354068,0.0052,0.0057,0.0902,0.091
0.365988,0.0229,0.013,0.107,0.11
0.373958,0.0066,0.0081,0.1094,0.11
0.385967,0.0093,0.0174,0.0903,0.092
0.394329,0.0093,0.0177,0.0783,0.081
0.40775,0.0043,0.0218,0.0616,0.065
0.413032,-0.0057,0.009,0.131,0.131
0.425812,-0.0058,-0.0012,0.0831,0.083
0.434993,0.0108,-0.0087,0.1118,0.113
0.44579,-0.0062,-0.016,0.0831,0.085
0.454539,-0.0014,0.0058,0.0759,0.076
0.466134,-0.0038,0.0179,0.0855,0.087
0.475038,-0.0109,0.0277,0.0927,0.097
0.486322,0.0035,-0.0036,0.0879,0.088
0.493177,0.0011,-0.0088,0.0783,0.079
0.506558,0.001,-0.0018,0.0927,0.093
0.513734,0.0035,-0.0159,0.0831,0.085
0.526834,0.0059,0.006,0.1094,0.11
0.533591,-0.0108,-0.0032,0.0879,0.089
0.546253,0.0227,0.0236,0.1166,0.121
0.555044,0.0319,-0.0003,0.0687,0.076
0.566522,0.0289,-0.017,0.1333,0.137
0.574099,0.0279,-0.0046,0.1213,0.125
0.585318,0.0217,-0.009,0.1213,0.124
0.593514,0.0155,-0.0038,0.1189,0.12
0.608742,0.0285,0.0014,0.1116,0.115
0.615481,0.0028,0.0019,0.114,0.114
0.625359,-0.0128,0.0094,0.1307,0.132
0.633976,-0.0088,0.0024,0.1307,0.131
0.648408,-0.0165,0.0073,0.078,0.08
0.653285,-0.0167,-0.0048,0.1067,0.108
