time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.083019775390625,0.1842,0.1172,9.9003,9.9027
0.10161376953125,0.1663,0.122,9.9075,9.9096
0.1202080078125,0.1711,0.1172,9.9183,9.9204
0.138802490234375,0.1795,0.1304,9.9075,9.91
0.157396728515625,0.1819,0.1149,9.9254,9.9278
0.175990966796875,0.1627,0.1292,9.9075,9.9097
0.194585205078125,0.1711,0.1196,9.9123,9.9145
0.213179443359375,0.1831,0.1029,9.9063,9.9085
0.2317734375,0.1711,0.1053,9.9218,9.9239
0.25036767578125,0.1627,0.134,9.9111,9.9133
0.268962158203125,0.1735,0.14,9.9051,9.9076
0.287556396484375,0.1866,0.1113,9.9135,9.9158
0.306150390625,0.1783,0.1101,9.9063,9.9085
0.32474462890625,0.1651,0.1125,9.9159,9.9179
0.343339111328125,0.1627,0.1208,9.9242,9.9263
0.361933349609375,0.1819,0.1352,9.9051,9.9077
0.38052734375,0.1699,0.1101,9.8967,9.8988
0.39912158203125,0.1771,0.1304,9.9135,9.9159
0.4177158203125,0.1687,0.1184,9.9111,9.9132
0.43631005859375,0.1986,0.1316,9.9183,9.9211
0.454904296875,0.1783,0.1328,9.9087,9.9112
0.47349853515625,0.1639,0.1101,9.9063,9.9083
0.4920927734375,0.1759,0.1172,9.9027,9.905
0.51068701171875,0.1831,0.1268,9.9063,9.9088
0.529281005859375,0.1878,0.1316,9.9015,9.9042
0.547875244140625,0.1711,0.1101,9.9075,9.9096
0.5664697265625,0.1603,0.1137,9.9003,9.9023
0.58506396484375,0.1747,0.1065,9.8991,9.9012
0.603657958984375,0.1747,0.1388,9.9015,9.904
0.622252197265625,0.1759,0.1256,9.9123,9.9146
0.6408466796875,0.1735,0.1292,9.9027,9.9051
0.659440673828125,0.1854,0.1161,9.9326,9.935
0.678034912109375,0.1711,0.1208,9.929,9.9312
0.696629150390625,0.1543,0.1089,9.9206,9.9224
0.7152236328125,0.1759,0.1232,9.9135,9.9158
0.733817626953125,0.1783,0.0933,9.9099,9.9119
0.752411865234375,0.1711,0.1161,9.9075,9.9096
0.771005859375,0.1663,0.1292,9.9123,9.9145
0.789600341796875,0.1831,0.1316,9.9302,9.9328
0.808194580078125,0.189,0.1292,9.9171,9.9197
0.826788818359375,0.2955,0.0909,10.1133,10.118
0.8453828125,-0.0108,0.1974,9.6503,9.6523
0.863977294921875,0.2871,0.0873,10.1157,10.1201
0.8825712890625,0.1902,0.0921,9.941,9.9432
0.90116552734375,0.1196,0.1316,9.8225,9.8241
0.919759765625,0.201,0.1232,9.9649,9.9677
0.938354248046875,0.1603,0.1125,9.9099,9.9118
0.9569482421875,0.1711,0.1196,9.9015,9.9037
0.97554248046875,0.1651,0.1065,9.9254,9.9274
0.994136474609375,0.1735,0.1113,9.9111,9.9132
1.01273095703125,0.1771,0.1196,9.9111,9.9134
1.0313251953125,0.1842,0.1292,9.9242,9.9268
1.04991943359375,0.1651,0.1232,9.9135,9.9156
1.068513427734375,0.1711,0.1041,9.9171,9.9191
1.08710791015625,0.1771,0.1017,9.9135,9.9156
1.105701904296875,0.1711,0.1113,9.9051,9.9072
1.124296142578125,0.1639,0.1232,9.9254,9.9275
1.142890380859375,0.1878,0.1424,9.9027,9.9055
1.16148486328125,0.1759,0.1304,9.9051,9.9075
1.180078857421875,0.1807,0.1256,9.9159,9.9183
1.1986728515625,0.1591,0.1161,9.9135,9.9154
1.21726708984375,0.1543,0.1029,9.9206,9.9224
1.235861572265625,0.1783,0.1172,9.9135,9.9158
1.254455810546875,0.1902,0.128,9.9266,9.9293
1.2730498046875,0.1603,0.1196,9.9087,9.9107
1.29164404296875,0.1747,0.1316,9.9218,9.9242
1.31023828125,0.1854,0.1208,9.9278,9.9303
1.32883251953125,0.1759,0.1232,9.9159,9.9182
1.3474267578125,0.1627,0.1125,9.9123,9.9142
1.366021240234375,0.1699,0.1292,9.9075,9.9098
1.384615234375,0.1842,0.1125,9.9171,9.9194
1.40320947265625,0.1795,0.1149,9.9171,9.9193
1.421803466796875,0.1735,0.1208,9.9159,9.9181
1.440397705078125,0.1639,0.1137,9.9183,9.9203
1.4589921875,0.1687,0.1101,9.9123,9.9143
1.477586181640625,0.1783,0.1232,9.9123,9.9146
1.496180419921875,0.1639,0.1149,9.9063,9.9083
1.51477490234375,0.1639,0.1208,9.9183,9.9203
1.533368896484375,0.1771,0.1232,9.9147,9.917
1.551963134765625,0.1878,0.1304,9.9147,9.9173
1.57055712890625,0.1699,0.1304,9.9123,9.9146
1.5891513671875,0.1735,0.1149,9.9206,9.9228
1.607745849609375,0.1854,0.1244,9.9039,9.9064
1.626340087890625,0.1771,0.1256,9.9218,9.9242
1.64493408203125,0.1507,0.1268,9.9111,9.913
1.663528564453125,0.1854,0.1184,9.9266,9.9291
1.68212255859375,0.1735,0.1065,9.9123,9.9144
1.700716796875,0.1735,0.1304,9.9075,9.9099
1.71931103515625,0.1711,0.1412,9.9194,9.9219
1.7379052734375,0.1723,0.1065,9.929,9.9311
1.75649951171875,0.1663,0.1172,9.929,9.9311
1.77509375,0.1974,0.1196,9.923,9.9257
1.793687744140625,0.1735,0.1256,9.9218,9.9242
1.8122822265625,0.1819,0.1292,9.9206,9.9232
1.830876220703125,0.1926,0.128,9.9171,9.9197
1.849470458984375,0.1747,0.1125,9.9087,9.9109
1.868064697265625,0.1735,0.1208,9.9254,9.9277
1.8866591796875,0.1747,0.122,9.923,9.9253
1.905253173828125,0.1735,0.1292,9.9206,9.923
1.92384716796875,0.1926,0.1184,9.9206,9.9232
1.94244140625,0.1687,0.1089,9.929,9.931
1.961035888671875,0.1771,0.1244,9.9171,9.9194
1.979630126953125,0.1831,0.1161,9.9326,9.935
1.99822412109375,0.1699,0.134,9.9218,9.9242
2.016818359375,0.1723,0.1101,9.9242,9.9263
2.03541259765625,0.1603,0.1172,9.9171,9.919
2.0540068359375,0.1735,0.1137,9.9254,9.9276
2.07260107421875,0.1615,0.1125,9.9135,9.9154
2.091195068359375,0.1783,0.134,9.9159,9.9184
2.10978955078125,0.1627,0.1137,9.9314,9.9334
2.1283837890625,0.1759,0.128,9.9242,9.9266
2.146977783203125,0.1795,0.1328,9.9147,9.9172
2.165572021484375,0.1747,0.134,9.9123,9.9147
2.184166259765625,0.1484,0.1244,9.9171,9.9189
2.202760498046875,0.1842,0.1101,9.9183,9.9206
2.221354736328125,0.1854,0.1244,9.9278,9.9303
2.239948974609375,0.1866,0.1149,9.9254,9.9278
2.258543212890625,0.1663,0.1244,9.9206,9.9228
2.277137451171875,0.1675,0.1268,9.9254,9.9277
2.2957314453125,0.1926,0.1268,9.9147,9.9173
2.31432568359375,0.1783,0.1101,9.9374,9.9396
2.332920166015625,0.1651,0.0969,9.9063,9.9081
2.351514404296875,0.1687,0.1125,9.9314,9.9335
2.3701083984375,0.1878,0.128,9.9183,9.9209
2.38870263671875,0.1878,0.1244,9.9135,9.916
2.407296875,0.1639,0.1161,9.9099,9.9119
2.42589111328125,0.189,0.1256,9.9111,9.9137
2.4444853515625,0.1675,0.1161,9.9183,9.9203
2.46307958984375,0.1819,0.1268,9.9218,9.9243
2.481673828125,0.1735,0.1208,9.9099,9.9121
2.50026806640625,0.1663,0.1137,9.9159,9.9179
2.518862060546875,0.1819,0.128,9.9242,9.9267
2.537456298828125,0.1699,0.1268,9.9278,9.9301
2.55605078125,0.1651,0.134,9.9063,9.9086
2.57464501953125,0.1819,0.1125,9.9111,9.9134
2.593239013671875,0.1807,0.1196,9.923,9.9254
2.611833251953125,0.1747,0.128,9.9171,9.9194
