time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003185,-0.8482,-1.1224,-1.4533,2.023
0.016251,-1.13,-0.5219,-2.0371,2.387
0.017159,-1.1837,-0.3267,-2.2224,2.539
0.029579,-0.7411,-0.0516,-2.131,2.257
0.038201,-0.6159,0.0788,-1.9887,2.083
0.049927,-0.3299,0.2613,-1.7004,1.752
0.055799,-0.2203,0.3048,-1.3507,1.402
0.071283,-0.2405,0.3824,-1.3883,1.46
0.08,0.0648,0.2757,-0.6193,0.681
0.089123,0.0858,0.1711,0.0178,0.192
0.097552,-0.0943,0.1083,0.465,0.487
0.123553,-0.4364,-0.1918,0.8753,0.997
0.124052,-0.538,-0.3751,0.9012,1.115
0.173591,-0.9384,-0.4934,0.7167,1.28
0.17419,-1.0538,-0.5546,0.4611,1.277
0.174734,-1.2432,-0.9485,-0.1188,1.568
0.175147,-1.2944,-1.0017,-0.3779,1.68
0.175577,-1.5106,-1.0312,-0.7722,1.985
0.177019,-1.6073,-0.9572,-0.9303,2.089
0.190467,-1.6649,-0.9039,-0.8423,2.073
0.195489,-1.553,-0.9039,-0.6655,1.916
0.209062,-1.1172,-1.007,-0.0639,1.505
0.215345,-0.7815,-0.9831,0.3092,1.293
0.228575,-0.1589,-0.9676,0.9597,1.372
0.235368,0.0894,-0.8744,1.272,1.546
0.251656,0.3653,-0.7204,1.7863,1.96
0.256079,0.3639,-0.6262,1.9142,2.047
0.27178,0.2981,-0.5017,1.975,2.059
0.275696,0.2581,-0.4667,1.97,2.041
0.289255,0.0964,-0.5752,1.9505,2.036
0.297522,0.0133,-0.6719,1.7845,1.907
0.309175,-0.1059,-0.915,1.5342,1.789
0.317317,-0.2375,-1.0753,1.257,1.671
0.33111,-0.4245,-1.3648,0.6514,1.571
0.339558,-0.6088,-1.5286,0.1559,1.653
0.349682,-0.8303,-1.8224,-0.5039,2.065
0.35698,-0.9523,-1.9937,-0.8534,2.369
0.371051,-0.9708,-2.2198,-1.3119,2.755
0.375759,-0.9922,-2.2981,-1.5067,2.922
0.389822,-0.8253,-2.3793,-1.9028,3.156
0.397428,-0.774,-2.4396,-1.9997,3.248
0.409347,-0.5963,-2.4429,-1.7378,3.057
0.418243,-0.3051,-2.359,-1.6605,2.901
0.429415,-0.1484,-2.2439,-1.3463,2.621
0.43644,-0.1609,-2.1094,-1.3191,2.493
0.450234,-0.435,-1.8968,-1.3558,2.372
0.45769,-0.688,-1.6388,-1.4154,2.272
0.471103,-0.9826,-1.0924,-1.3021,1.963
0.475624,-1.1446,-0.64,-1.1963,1.775
0.490362,-1.1413,-0.0775,-0.8709,1.438
0.497824,-0.9702,0.1664,-0.5401,1.123
0.511623,-0.4276,0.3822,0.1838,0.602
0.516034,-0.2291,0.4165,0.661,0.814
0.530986,0.0106,0.3738,1.7724,1.811
0.537225,-0.0818,0.3319,2.5534,2.576
