time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0882822265625,1.6343,2.8152,8.9635,9.5363
0.10687548828125,1.3316,2.5938,8.9707,9.4326
0.12546875,0.8638,2.5137,8.8152,9.2072
0.144062255859375,0.396,2.4682,8.8164,9.1639
0.162655517578125,0.0311,2.3474,8.7362,9.0461
0.181248779296875,-0.0945,2.3509,8.4479,8.7694
0.199842041015625,-0.0108,2.7075,7.876,8.3284
0.218435302734375,0.1543,3.1107,7.6247,8.2363
0.237028564453125,0.3685,3.2375,8.0662,8.6995
0.255621826171875,0.6042,3.2243,8.5316,9.1406
0.274215087890625,0.7478,3.2997,8.3545,9.0136
0.292808349609375,0.8483,3.5486,7.943,8.7409
0.311401611328125,0.8231,3.6622,7.8461,8.6977
0.329994873046875,0.6592,3.5868,8.1858,8.9615
0.348588134765625,0.4738,3.4229,8.6847,9.347
0.367181396484375,0.2189,3.3619,8.9958,9.606
0.38577490234375,-0.0443,3.4337,9.1968,9.817
0.4043681640625,-0.2429,3.5342,9.3954,10.0411
0.42296142578125,-0.2716,3.679,9.3799,10.0792
0.4415546875,-0.3577,4.0499,9.0748,9.9439
0.46014794921875,0.0144,4.392,8.6381,9.6905
0.4787412109375,0.6162,4.6576,8.8271,9.9996
0.49733447265625,1.0851,4.733,9.5845,10.7443
0.515927978515625,1.3651,4.5595,9.9194,11.0022
0.53452099609375,1.1474,4.4315,9.9494,10.9519
0.553114501953125,0.6329,4.2233,9.9266,10.8062
0.571707763671875,0.0215,4.2508,9.7436,10.6305
0.590301025390625,-0.8387,4.526,9.4361,10.499
0.608894287109375,-1.4058,4.6935,9.2554,10.4723
0.62748779296875,-1.6762,4.9005,8.8522,10.2561
0.6460810546875,-1.602,5.0118,8.656,10.1297
0.66467431640625,-0.9488,4.4243,9.1179,10.1789
0.683267578125,-0.7609,3.661,10.4638,11.1119
0.70186083984375,-1.2407,3.0688,11.7105,12.1693
0.7204541015625,-1.9418,2.6285,12.1244,12.5571
0.73904736328125,-2.2624,2.4096,11.3539,11.8253
0.757640625,-2.1667,2.4335,10.2114,10.7186
